"number";"cluster"
903;7
905;5
906;3
908;2
1001;7
1002;7
1003;7
1004;7
1005;7
1006;7
1007;7
1009;7
1010;7
1012;7
1013;7
1014;7
1015;7
1016;7
1017;7
1018;7
1019;7
1020;7
1022;7
1023;7
1024;7
1025;7
1026;7
1102;7
1116;7
2001;7
2002;7
2003;7
2004;7
2005;7
2006;7
2007;7
2008;2
2009;2
2010;2
2011;2
2012;2
2013;2
2014;2
2015;7
2016;5
2017;7
2020;7
2021;7
2022;2
2101;7
2102;2
2107;7
2108;2
3001;4
3002;4
3003;7
3004;7
3005;4
3006;7
3007;4
3008;4
3009;4
3010;7
3011;7
3012;7
3013;1
3014;7
3101;1
4001;1
4002;7
4003;7
4005;1
4006;4
4007;4
4009;7
4010;1
4011;7
4012;7
4013;7
4014;7
4015;4
4016;7
4017;7
4018;7
4019;7
4020;7
4021;7
4101;7
4103;7
4104;7
4105;2
4107;4
5001;7
5002;7
5003;2
5004;3
5005;3
5006;2
5007;7
5008;7
5009;7
5010;3
5012;2
5013;2
5014;2
5015;2
5016;3
5017;3
5018;7
5019;7
5020;7
5021;2
5022;7
5023;2
5024;7
5026;1
5027;1
5028;7
5029;6
5030;7
5031;2
5032;3
5033;7
5034;1
5035;4
5104;4
5105;1
5106;2
5107;7
5110;3
6001;1
6002;2
6003;7
6004;7
6005;3
6006;2
6007;3
6008;2
6009;7
6010;3
6012;7
6013;7
6014;4
6015;7
6016;7
6017;7
6018;2
6020;7
6021;2
6022;7
6024;2
6025;2
6026;7
6027;1
6028;7
6029;2
6030;2
6031;7
6032;7
6103;7
6104;3
6107;7
6108;1
7001;2
7002;1
7003;7
7004;2
7005;2
7006;7
7007;7
7008;2
7009;7
7010;2
7011;2
7012;2
7013;1
7014;4
7015;2
7016;2
7017;2
7018;1
7019;4
7020;1
7021;1
7022;2
7023;7
7024;4
7025;7
7026;7
7101;7
7102;2
7103;7
8001;7
8002;1
8003;3
8004;7
8005;7
8007;7
8008;1
8009;4
8010;3
8011;3
8012;3
8013;2
8015;2
8016;7
8017;4
8018;2
8019;2
8020;3
8025;2
8026;2
8027;4
8028;3
8029;7
8030;2
8031;2
8032;2
8033;2
8034;2
8035;2
8036;2
8037;3
8038;2
8039;2
8040;2
8041;2
8044;2
8045;7
8046;7
8047;2
8048;2
8049;3
8050;7
8051;3
8052;3
8053;3
8054;2
8055;3
8056;3
8057;3
8101;3
8102;2
8103;2
8104;3
8105;2
8110;3
8113;2
8115;2
8549;2
9001;5
9002;5
9003;3
9004;3
9005;3
9006;3
9007;5
9008;5
9009;5
9010;5
9011;5
9012;2
9013;2
9014;7
9015;5
9016;5
9017;5
9018;3
9019;3
9020;5
9021;5
9022;2
9023;2
9024;2
9025;2
9026;5
9027;3
9028;3
9029;2
9030;2
9031;2
9032;2
9033;7
9034;7
9035;3
9036;5
9037;3
9038;3
9039;7
9101;1
9102;2
9104;2
