"P1";"P2";"P3";"P4";"P5";"time"
0,760057895913052;0,0990469063715421;0,532906376305316;0,336822061696956;0,0871680782271915;2017-03-06 17:00:00
0,763735681530859;0,103168176460579;0,532545383323483;0,356421391266595;0,0920238587902019;2017-03-06 17:20:00
0,767601598839438;0,107323079021282;0,54076112116393;0,35240769216007;0,0939236050845282;2017-03-06 17:40:00
0,765622651740513;0,105969390800611;0,542985083690484;0,371815323642501;0,0984082908743645;2017-03-06 18:00:00
0,75711586601044;0,108352836331057;0,527477110695471;0,36020213589044;0,0932785110159337;2017-03-06 18:20:00
0,767481015782619;0,114197598204189;0,526333413392707;0,392296458582495;0,0973760482889376;2017-03-06 18:40:00
0,779749930187925;0,120265818799994;0,534995660436064;0,392038452182429;0,0995760000224064;2017-03-06 19:00:00
0,781612671927049;0,121718667000788;0,531301284356931;0,407894076008052;0,0955310639411902;2017-03-06 19:20:00
0,772612875457355;0,132542639092885;0,550875406014764;0,404162352053221;0,0951209680809757;2017-03-06 19:40:00
0,787671914390519;0,122669825768773;0,525389889496913;0,438254982745144;0,101294972281686;2017-03-06 20:00:00
0,798947522888215;0,133951697322003;0,528263010892106;0,442517206187341;0,0981729748616737;2017-03-06 20:20:00
0,80230949284753;0,135198855661642;0,539603979155395;0,453806688981035;0,100364387084147;2017-03-06 20:40:00
0,801266692705591;0,138170347048167;0,537374347018956;0,477274292085192;0,100140047272084;2017-03-06 21:00:00
0,804528160323975;0,137663976267561;0,532379007092072;0,485396917623164;0,100585411953405;2017-03-06 21:20:00
0,804307562711204;0,137392193953219;0,527852669522272;0,502351078934381;0,0997765374344111;2017-03-06 21:40:00
0,804122579132665;0,144675937737251;0,53045257367537;0,497891669409633;0,0998549178244645;2017-03-06 22:00:00
0,806064898192914;0,144542127478895;0,526120425523648;0,501533650382569;0,098343495143912;2017-03-06 22:20:00
0,806761739976056;0,146745287739976;0,531686326828425;0,491337137452185;0,101005583269861;2017-03-06 22:40:00
0,806291481250366;0,147745685326635;0,511831383951362;0,527440692531198;0,0995603337522983;2017-03-06 23:00:00
0,800173344509092;0,162525819249968;0,508485689836324;0,514230489064563;0,0966254562371665;2017-03-06 23:20:00
0,800236251312016;0,169115748106706;0,501117387570555;0,527311525736587;0,0998286386668511;2017-03-06 23:40:00
0,798211011131956;0,188032127759935;0,483900630773112;0,536026924690454;0,101131385504834;2017-03-07 00:00:00
0,789656431058117;0,205658869574969;0,478459585519885;0,530928011223667;0,100951836883489;2017-03-07 00:20:00
0,788584511805004;0,219055733788588;0,469040734590861;0,546071685464602;0,102207138720576;2017-03-07 00:40:00
0,778092205485811;0,237712024675783;0,465222271040359;0,541738639680305;0,104336511018203;2017-03-07 01:00:00
0,779543839324959;0,249172263467065;0,465207754618293;0,539787654773398;0,109032512497011;2017-03-07 01:20:00
0,772985962670936;0,267436871500977;0,459223653617982;0,525141553176233;0,110930432552471;2017-03-07 01:40:00
0,773137195503332;0,273839072923431;0,456461957677759;0,53633963723396;0,116032052289264;2017-03-07 02:00:00
0,766518198563271;0,283670163101033;0,45117670234515;0,533576404847581;0,120129817581566;2017-03-07 02:20:00
0,759643695524355;0,299984101401295;0,440968575470178;0,534593007804001;0,126167511334533;2017-03-07 02:40:00
0,733142518837243;0,293317685763232;0,434201352981043;0,518340550283663;0,126586945809743;2017-03-07 03:00:00
0,712181280607889;0,306312036972065;0,437389354807979;0,53405222080147;0,127500891428247;2017-03-07 03:20:00
0,740553610453857;0,327264668899286;0,425792480978328;0,535561911481998;0,134959104536755;2017-03-07 03:40:00
0,734241037026919;0,334507863157168;0,429539727059333;0,524265817552475;0,145832926158784;2017-03-07 04:00:00
0,730004006607592;0,346194400836794;0,425658776488679;0,532568923790059;0,150348054633423;2017-03-07 04:20:00
0,724803524349767;0,355212182397097;0,413195950035713;0,526468364550343;0,155063673321663;2017-03-07 04:40:00
0,722970910024732;0,358267512146894;0,422060156747904;0,523070861096089;0,155977934629345;2017-03-07 05:00:00
0,719996513079292;0,361819657134631;0,419264938117403;0,516144237655576;0,16251839483301;2017-03-07 05:20:00
0,722162511182904;0,359122032515029;0,421805653256904;0,524727218147885;0,152135808106058;2017-03-07 05:40:00
0,722213715666662;0,357094652584375;0,423087596502531;0,515596894082588;0,158560528333515;2017-03-07 06:00:00
0,72072446729742;0,349599831449378;0,423931707905087;0,513162343571522;0,157348050923286;2017-03-07 06:20:00
0,719961455511566;0,346425917465588;0,427148998865435;0,498585786912941;0,155608776768323;2017-03-07 06:40:00
0,710776593199689;0,326957814790066;0,429808551277057;0,49892558480406;0,157191966244389;2017-03-07 07:00:00
0,693433171107982;0,320357788510259;0,44408400429667;0,432870314507467;0,159827332407614;2017-03-07 07:20:00
0,684195575378953;0,311339222231385;0,448440911019239;0,432847046077299;0,160150427594534;2017-03-07 07:40:00
0,676654197120817;0,284681856680076;0,46593829916497;0,403694568139741;0,166942824065734;2017-03-07 08:00:00
0,669668379037532;0,251465498172215;0,481670522776698;0,34337469629621;0,15346534054362;2017-03-07 08:20:00
0,641288658210999;0,22032510704207;0,522639189800186;0,292551384331687;0,147764209475946;2017-03-07 08:40:00
0,639613810878898;0,207772978544248;0,577057794059077;0,274603172593427;0,152931978876756;2017-03-07 09:00:00
0,648852306522562;0,203046396884406;0,626634247864759;0,257693685496959;0,150400611567063;2017-03-07 09:20:00
0,670478570194959;0,193344684862198;0,644122177641004;0,258817757586187;0,165703673592427;2017-03-07 09:40:00
0,672126016412336;0,20406509129809;0,659281815984337;0,257667248113716;0,166760198351382;2017-03-07 10:00:00
0,667027707955314;0,202279638622075;0,678061453437662;0,24725285899531;0,166036623386607;2017-03-07 10:20:00
0,672426163369139;0,206592586295006;0,656607553784101;0,265585320724801;0,173752513161571;2017-03-07 10:40:00
0,665104122599097;0,201092995774187;0,673097309836963;0,263890289302615;0,177050560309113;2017-03-07 11:00:00
0,668268780912867;0,206512731879865;0,650561257703764;0,253209186983291;0,173210501854094;2017-03-07 11:20:00
0,667280061933097;0,187739020512836;0,65730590955495;0,27547372326248;0,179538984433606;2017-03-07 11:40:00
0,659837326363146;0,211217160531412;0,622552841751555;0,286400909082016;0,174642892803107;2017-03-07 12:00:00
0,663635905301062;0,202633319252353;0,634139189074982;0,277596498261359;0,186123030865283;2017-03-07 12:20:00
0,674068128075565;0,19973658467014;0,610215512860451;0,286535024242099;0,181871550237769;2017-03-07 12:40:00
0,668419967134866;0,186839146464141;0,636711418338122;0,288133580900844;0,172626912878972;2017-03-07 13:00:00
0,659960099897371;0,206005446050847;0,627895800664652;0,308284725809525;0,172851847361854;2017-03-07 13:20:00
0,67496349542116;0,185749557376037;0,656760097429611;0,284923259403623;0,171466008826229;2017-03-07 13:40:00
0,661313872329248;0,182636730790501;0,6375788340224;0,303246110625068;0,176004649138352;2017-03-07 14:00:00
0,686883522580498;0,175469154444475;0,649850979444342;0,293008610069378;0,162303831793159;2017-03-07 14:20:00
0,660846346414394;0,182345569541942;0,643834957502533;0,300841635171513;0,166246361797942;2017-03-07 14:40:00
0,692332170330174;0,169838259120295;0,662344312211045;0,290249295371336;0,16644378491467;2017-03-07 15:00:00
0,680512532542126;0,170512719276659;0,652647052033469;0,314804891641563;0,165770519918549;2017-03-07 15:20:00
0,684682597124728;0,178176053527464;0,650877098135745;0,284911135914835;0,16612576220415;2017-03-07 15:40:00
0,679640336684358;0,164705959109258;0,642186642454747;0,295206535189664;0,152502420129517;2017-03-07 16:00:00
