"number";"lat";"lon"
31705;48,8645278209514;2,4161707244259
10042;48,8724200630531;2,34839523628281
8020;48,8821489456319;2,31986005477421
1022;48,8682170167744;2,33049351139917
35014;48,8932686646974;2,41271573338868
20040;48,8703936716038;2,38422247271259
28002;48,884478;2,24772065
15111;48,8346588627927;2,2957894803159
12124;48,8390411459082;2,43765533908295
9021;48,877872278318;2,33744680420367
7007;48,859710104435;2,32580902462503
20011;48,8555013539889;2,40516852063917
5005;48,8447302561321;2,34192394486641
33006;48,9101436710038;2,38505201824411
4020;48,8600883261048;2,3501483359202
11029;48,8666176586814;2,38301344041578
7012;48,854268334051;2,31945401006142
19019;48,8863896349246;2,39363751443361
14113;48,8351288650429;2,34157863455693
15028;48,8513967211235;2,29188931322812
22005;48,8842989293728;2,26099177209953
20027;48,8691543609174;2,40932246879487
18042;48,8827280905451;2,33626263901659
11008;48,8503797538799;2,38386933547444
19038;48,8755503947562;2,38903816084755
13037;48,824695995415;2,36310607357747
13040;48,8199419656772;2,36507858638901
16027;48,8528612487169;2,26848357065151
15118;48,8431988280709;2,32225737727924
6006;48,8447992885877;2,32933775588718
20015;48,8571433920909;2,398472
9005;48,8826334843108;2,34488440621221
8031;48,8697088479524;2,31071465537424
12015;48,8469643595031;2,39986827742879
14120;48,8219553064561;2,32680686990588
9007;48,8798312251102;2,34539633898637
9019;48,881149033953;2,33668100429512
15040;48,8341171478377;2,30885001546654
14013;48,8212276633185;2,34210421455797
42201;48,8239632522869;2,39999842013299
11038;48,8657450770948;2,36531295078023
18019;48,8918779570874;2,33544742768979
901;48,86138;2,32442
15064;48,8462949182689;2,2784139125938
12031;48,8351380506895;2,38547848656484
13021;48,8260351660585;2,34217680800433
34002;48,9025922416309;2,33051356484027
2005;48,8650219458101;2,34506844014476
22012;48,8827499154713;2,27740638127753
5104;48,841916179826;2,35891268131767
31008;48,857702134021;2,43736866129498
15062;48,8421443315782;2,28586265594394
3011;48,8655841910852;2,35627844763363
4012;48,8557966374038;2,35790788213517
20017;48,8569749400317;2,40884245740696
18028;48,894057251327;2,33219933598001
12024;48,83976;2,38241
