"P1";"P2";"P3";"P4";"P5";"P6";"P7";"time"
0,539354317362751;0,2328299694421;0,789126395324137;0,522291761569904;0,151125442917678;0,0767130041042113;0,788753575073492;2017-03-06 13:00:00
0,562931382955459;0,253449819200512;0,795499704797932;0,529330833990889;0,154909184755764;0,0805582107354024;0,769907112551868;2017-03-06 13:20:00
0,533738238246883;0,248502378337512;0,787373734878289;0,542305126156983;0,144387179063541;0,0804918327188358;0,787781512649058;2017-03-06 13:40:00
0,538233232777528;0,258448456081488;0,798777118732335;0,53860724051882;0,136640066916633;0,0802365820896082;0,796985053625396;2017-03-06 14:00:00
0,511418824784117;0,264092744450874;0,787646193127659;0,527094478848256;0,136921309407288;0,0790076935426684;0,815503662111343;2017-03-06 14:20:00
0,514461093803523;0,266811329236902;0,756440082098467;0,520245884992904;0,128822835362285;0,0777460013432468;0,809168459889124;2017-03-06 14:40:00
0,49130549318644;0,260989974115616;0,777588717513828;0,537903160972688;0,122568033103631;0,0808624691580693;0,81401986319609;2017-03-06 15:00:00
0,484946248133801;0,264978015381939;0,770304216924547;0,518117442177228;0,115638640991572;0,0776718225498233;0,821742533163714;2017-03-06 15:20:00
0,484827273827773;0,262997054859055;0,766085476086442;0,52316476974884;0,110383039249452;0,0716966715241655;0,832086284324303;2017-03-06 15:40:00
0,468347438448503;0,270638252223675;0,759754495795313;0,49875116430023;0,108254796909962;0,0793897054477913;0,838085766487831;2017-03-06 16:00:00
0,461150078675593;0,268697138222764;0,759186315315301;0,530755215294812;0,104964066840338;0,0806044075669805;0,820953615042569;2017-03-06 16:20:00
0,464866010052888;0,26726034905926;0,761094994474923;0,521464532761469;0,112130150235846;0,0843904736889524;0,834879217585666;2017-03-06 16:40:00
0,479255750717324;0,278622947178197;0,758771956142862;0,519111861170695;0,107009933310459;0,0788041490008708;0,848429848445131;2017-03-06 17:00:00
0,479064519255761;0,277630676219652;0,76735463823301;0,517221607821064;0,120135920317317;0,0830426670120062;0,857294005101311;2017-03-06 17:20:00
0,485755241983069;0,295258883155552;0,772544324713274;0,517883543810093;0,121675299149125;0,0833445210972635;0,851476611987486;2017-03-06 17:40:00
0,504680292642234;0,294520896942207;0,768869630922424;0,526218965892064;0,124462297706402;0,0869023105745997;0,848761007760198;2017-03-06 18:00:00
0,482099999574572;0,287451217136908;0,77478789711753;0,505520865061763;0,126717614994345;0,0841267369569062;0,820894533747192;2017-03-06 18:20:00
0,513410701866609;0,290343361094428;0,776341928596842;0,517261609482723;0,136640040346172;0,0888893556918429;0,829190864135625;2017-03-06 18:40:00
0,527902031141114;0,2765690269812;0,791860392127825;0,527446060185268;0,148099889816029;0,0938875010673082;0,831368210606095;2017-03-06 19:00:00
0,551225744743953;0,283040614319315;0,789781748759011;0,526892745975351;0,145883631777472;0,0873756619428799;0,836231473847316;2017-03-06 19:20:00
0,535375427827898;0,312600566727708;0,784520753401036;0,524781660007548;0,164959355932159;0,086753054419097;0,831480801933104;2017-03-06 19:40:00
0,577457788733662;0,281512181090783;0,801045646877374;0,525109031062347;0,15271213749795;0,0920771095793058;0,828211356284374;2017-03-06 20:00:00
0,598620633686727;0,28886861387173;0,810131379749948;0,50767758396381;0,172369676384085;0,0898044122001327;0,830868995684099;2017-03-06 20:20:00
0,617432263563575;0,298593925069073;0,811681798916103;0,526903343702744;0,175549167214864;0,0921463970917261;0,822122766664526;2017-03-06 20:40:00
0,617163302753011;0,292298365015618;0,815875783183107;0,533262995318482;0,183506484682605;0,0931916657970148;0,828928896638426;2017-03-06 21:00:00
0,627935457410144;0,290170121837563;0,820979034588419;0,523600403280267;0,189351169619687;0,0929716157966583;0,82167061667425;2017-03-06 21:20:00
0,649212268487051;0,284839172805881;0,811177687696831;0,535152972123246;0,186049385740952;0,0931806996572241;0,825774665124927;2017-03-06 21:40:00
0,63832337221401;0,292393933348279;0,821804011860823;0,52896155655378;0,19864809112984;0,0944470567537969;0,808079732816368;2017-03-06 22:00:00
0,647921866379214;0,293342013837116;0,82651266412026;0,534331877540745;0,195730479538737;0,0911936796258666;0,796632697667962;2017-03-06 22:20:00
0,639398825909643;0,297183171149008;0,830296117577693;0,528061700456121;0,199191092280432;0,0936791762476291;0,798452771203939;2017-03-06 22:40:00
0,666859346837223;0,287737579211918;0,825817915814015;0,527625215517308;0,209378588081565;0,0920463619208072;0,783056633379972;2017-03-06 23:00:00
0,668312112731115;0,286145863211077;0,833374484366416;0,52386150952022;0,218017486658561;0,0937926685170763;0,744123818512255;2017-03-06 23:20:00
0,672642150771772;0,301933964826629;0,832790241970876;0,513254062518584;0,229637454151404;0,0975203641413423;0,726261318092799;2017-03-06 23:40:00
0,67566035832581;0,286574879206539;0,835478206420963;0,524990268505522;0,240802266015108;0,107998106939274;0,6958055839089;2017-03-07 00:00:00
0,674504534015476;0,300442970499127;0,828819277129501;0,518041779060791;0,253652681734214;0,110489129290365;0,669344222305349;2017-03-07 00:20:00
0,684673905688784;0,297034009689928;0,831945611522765;0,516183165512111;0,262334209981648;0,119107539662786;0,650563164177986;2017-03-07 00:40:00
0,677247863537851;0,300754330551095;0,826370147162292;0,503751306053629;0,267159815993589;0,129129489018084;0,641485244187166;2017-03-07 01:00:00
0,678151667272812;0,30599547534393;0,825485741469325;0,515462479218516;0,275770102252168;0,136769184944539;0,627432277403647;2017-03-07 01:20:00
0,661251875094515;0,307021350768698;0,817441757088864;0,521681642477604;0,275201714678938;0,147173816631345;0,617892263808922;2017-03-07 01:40:00
0,663837332994952;0,313209577405545;0,825485235753721;0,510764064342244;0,284327491386788;0,15408980082357;0,604949782365319;2017-03-07 02:00:00
0,661885916825541;0,313133123755632;0,818126220590999;0,515876051508604;0,284482898318496;0,162381593872304;0,590698626221185;2017-03-07 02:20:00
0,663667944175988;0,316838800641535;0,812418853967877;0,506976420993479;0,286741566589509;0,17345470533974;0,578640396247151;2017-03-07 02:40:00
0,622835416232273;0,309156606634823;0,791916008638683;0,49996312378412;0,279472610516886;0,174678745626566;0,563066626505731;2017-03-07 03:00:00
0,643562915978645;0,313350647202357;0,771565358783692;0,506984766531888;0,289522711709308;0,183357766675719;0,526877912734814;2017-03-07 03:20:00
0,654516174648243;0,308748571110779;0,800794245853414;0,506385552085306;0,299168998822976;0,196175266209498;0,535080780705673;2017-03-07 03:40:00
0,639524247846128;0,325794859159247;0,797014164546738;0,508921862664245;0,301755333886941;0,206055051000248;0,520169229748816;2017-03-07 04:00:00
0,648737372673883;0,31550675375428;0,794680381931893;0,511570484195163;0,308248885442236;0,215783335081569;0,514092295524981;2017-03-07 04:20:00
0,64197000764681;0,312496265770777;0,78967611339472;0,500799524438112;0,310318557031741;0,22251065931849;0,505083312593494;2017-03-07 04:40:00
0,641024889887936;0,322593110022896;0,788298899544264;0,508040214871603;0,307051335954703;0,225039827239979;0,50415315150059;2017-03-07 05:00:00
0,635083707505112;0,323668191379008;0,783898870213212;0,497024972868779;0,312529275392995;0,229423852186713;0,506352966151008;2017-03-07 05:20:00
0,6384803981138;0,319789570579174;0,786239055210918;0,514215288284945;0,309575443574791;0,222144397083654;0,504547994827525;2017-03-07 05:40:00
0,635183653357723;0,323829104836474;0,78510521138842;0,503020229342404;0,307135538227619;0,225665948215561;0,510688575823575;2017-03-07 06:00:00
0,632299478977055;0,324407411445584;0,78485828792265;0,50014675226421;0,300473783266978;0,222525959496504;0,511353901612325;2017-03-07 06:20:00
0,624073294337961;0,330037409743732;0,781733639504167;0,509360480815651;0,289179244346054;0,220146534734813;0,509719353501311;2017-03-07 06:40:00
0,623932630266724;0,335856680671585;0,763937398401208;0,495700157328176;0,2788145549177;0,215800331981579;0,517387682258306;2017-03-07 07:00:00
0,549508442521441;0,344229653685209;0,751326588897046;0,510343027870682;0,257379704848675;0,214427723487838;0,521479851080074;2017-03-07 07:20:00
0,550606723160742;0,366290414250145;0,733305075894834;0,487137339863924;0,250847774196209;0,209261327458353;0,53431203359681;2017-03-07 07:40:00
