"P1";"time"
0,405689205377067;2017-03-07 20:00:00
0,409953950948632;2017-03-07 20:20:00
0,421588129846629;2017-03-07 20:40:00
0,422109229544453;2017-03-07 21:00:00
0,428814187264519;2017-03-07 21:20:00
0,429356573803072;2017-03-07 21:40:00
0,424828483811108;2017-03-07 22:00:00
0,430860231088017;2017-03-07 22:20:00
0,429967823792661;2017-03-07 22:40:00
0,430085111061194;2017-03-07 23:00:00
0,429929402928598;2017-03-07 23:20:00
0,431894355268655;2017-03-07 23:40:00
0,433192072888462;2017-03-08 00:00:00
0,436677626640715;2017-03-08 00:20:00
0,437047746919326;2017-03-08 00:40:00
0,438341924582702;2017-03-08 01:00:00
0,439403692068526;2017-03-08 01:20:00
0,441852348930427;2017-03-08 01:40:00
0,446592388760431;2017-03-08 02:00:00
0,444512361860557;2017-03-08 02:20:00
0,447144706910803;2017-03-08 02:40:00
0,428691406925363;2017-03-08 03:00:00
0,435090849650425;2017-03-08 03:20:00
0,443579118389198;2017-03-08 03:40:00
0,446362300389117;2017-03-08 04:00:00
0,448457735928157;2017-03-08 04:20:00
0,445957754444005;2017-03-08 04:40:00
0,447701174616629;2017-03-08 05:00:00
0,448616644663827;2017-03-08 05:20:00
0,445844624025652;2017-03-08 05:40:00
0,447089903849436;2017-03-08 06:00:00
0,442363649817791;2017-03-08 06:20:00
0,440388564815244;2017-03-08 06:40:00
0,434761117679346;2017-03-08 07:00:00
0,422681500432507;2017-03-08 07:20:00
0,413575288114919;2017-03-08 07:40:00
0,393904919482427;2017-03-08 08:00:00
0,370066282413731;2017-03-08 08:20:00
0,354800039828481;2017-03-08 08:40:00
0,362988260778704;2017-03-08 09:00:00
0,376322137653977;2017-03-08 09:20:00
0,393564712070803;2017-03-08 09:40:00
0,400831558690325;2017-03-08 10:00:00
0,400532881225341;2017-03-08 10:20:00
0,407947086735828;2017-03-08 10:40:00
0,40949781914685;2017-03-08 11:00:00
0,402603782122552;2017-03-08 11:20:00
0,404897932586467;2017-03-08 11:40:00
0,403927286243493;2017-03-08 12:00:00
0,394586530419192;2017-03-08 12:20:00
0,404090042816072;2017-03-08 12:40:00
0,400829797021179;2017-03-08 13:00:00
0,399242558220326;2017-03-08 13:20:00
0,398297649986994;2017-03-08 13:40:00
0,404103471378413;2017-03-08 14:00:00
0,401343320079273;2017-03-08 14:20:00
0,402249905736413;2017-03-08 14:40:00
0,403940050978098;2017-03-08 15:00:00
0,400207670713016;2017-03-08 15:20:00
0,399485337038174;2017-03-08 15:40:00
0,399642272368605;2017-03-08 16:00:00
0,400168195564855;2017-03-08 16:20:00
0,399356496625651;2017-03-08 16:40:00
0,390399111634997;2017-03-08 17:00:00
0,386548846690123;2017-03-08 17:20:00
0,380906849706631;2017-03-08 17:40:00
0,377886200779698;2017-03-08 18:00:00
0,371690047032122;2017-03-08 18:20:00
0,37056956025328;2017-03-08 18:40:00
0,369537438194113;2017-03-08 19:00:00
0,374354418317912;2017-03-08 19:20:00
0,380406722696125;2017-03-08 19:40:00
0,388461500952564;2017-03-08 20:00:00
0,399539635220164;2017-03-08 20:20:00
0,410071232233718;2017-03-08 20:40:00
0,41636892526653;2017-03-08 21:00:00
0,418089607666052;2017-03-08 21:20:00
0,421302937589693;2017-03-08 21:40:00
0,416431823842748;2017-03-08 22:00:00
0,419838508094065;2017-03-08 22:20:00
0,417843684508486;2017-03-08 22:40:00
0,421680242384496;2017-03-08 23:00:00
0,421487203713056;2017-03-08 23:20:00
0,424520264496726;2017-03-08 23:40:00
0,427314500284101;2017-03-09 00:00:00
0,427991989545844;2017-03-09 00:20:00
0,431183435891197;2017-03-09 00:40:00
0,430534791025229;2017-03-09 01:00:00
0,433734967283377;2017-03-09 01:20:00
0,435043254518007;2017-03-09 01:40:00
0,434552145756218;2017-03-09 02:00:00
0,43671833560533;2017-03-09 02:20:00
0,436946302116885;2017-03-09 02:40:00
0,432668522147975;2017-03-09 03:00:00
0,433420938311993;2017-03-09 03:20:00
