"","number","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41","Dim.42","Dim.43","Dim.44","Dim.45","Dim.46","Dim.47","Dim.48","Dim.49","Dim.50","Dim.51","Dim.52","Dim.53","Dim.54","Dim.55","Dim.56","Dim.57","Dim.58","Dim.59","Dim.60","Dim.61","Dim.62","Dim.63","Dim.64","Dim.65","Dim.66","Dim.67","Dim.68","Dim.69","Dim.70","Dim.71","Dim.72","Dim.73","Dim.74","Dim.75","Dim.76","Dim.77","Dim.78","Dim.79","Dim.80","Dim.81","Dim.82","Dim.83","Dim.84","Dim.85","Dim.86","Dim.87","Dim.88","Dim.89","Dim.90","Dim.91","Dim.92","Dim.93","Dim.94","Dim.95","Dim.96","Dim.97","Dim.98","Dim.99","Dim.100","Dim.101","Dim.102","Dim.103","Dim.104","Dim.105","Dim.106","Dim.107","Dim.108","Dim.109","Dim.110","Dim.111","Dim.112","Dim.113","Dim.114","Dim.115","Dim.116","Dim.117","Dim.118","Dim.119","Dim.120","Dim.121","Dim.122","Dim.123","Dim.124","Dim.125","Dim.126","Dim.127","Dim.128","Dim.129","Dim.130","Dim.131","Dim.132"
"1",901,12.6916568175388,3.58686933496504,-1.89162691049747,-5.70100283644031,1.03272061505828,-0.828041951843504,-0.44423781022315,-0.471544494759976,0.914622744616427,-0.611040929885453,-2.09034899854232,-0.170033239597688,-0.363974581610985,-1.65037005969389,-0.833382829845306,-0.0605662442259251,-0.141107592724774,0.797574958510877,1.49925260143948,-1.18711749460901,-1.43322479574388,-0.702234964828841,-0.106490210587682,1.4259936332907,0.166810851152372,-0.00012882869124145,-1.72972421451544,-0.103337376503425,-1.93133967808991,1.30813708045647,-1.41043369899227,0.828458545013927,-0.276061468072475,-0.212199544991023,0.115359063350477,1.17777219971083,-0.357257174267112,-1.18003030656677,-0.1208657451248,0.782088740665705,0.664671769287269,0.281141738634999,0.376552615710722,-0.357955040308878,0.303325313088813,-0.017591108773205,-0.410360279628382,0.113217006196784,-0.418369986416581,0.19597474630543,0.73724233310232,-0.276125363718185,0.884931301465945,1.14305643164542,-0.549290914464321,-0.407040088113327,-0.194019670392577,-0.378166255615395,0.368856814771728,0.927744333849898,0.346309302626519,0.939993584592522,-0.215294468683933,-0.0406278655686292,-0.420719692787426,0.0610110806789608,0.105773699704713,-0.150460713100769,-0.0286240016052768,-0.326631007475877,-0.247674918672166,-0.103381488377071,0.280436406965878,0.184331330337348,-0.480612065730936,-0.10167341040324,0.145222232858105,0.633173473826734,-0.112571937558377,0.445572354092305,0.223543770396901,0.239389678851125,-0.022098612587223,-0.10440350842259,-0.0358745784496691,-0.151551698645096,-0.255006964975471,0.0870830096547568,0.236388304112416,-0.172616472568848,0.126370558335335,0.189834485625462,0.128109919346824,0.0178717720941163,-0.0244572716253488,-0.0247202569196027,-0.03405685217143,-0.0603707155546387,0.0493924911777292,-0.00362416404396025,-0.092000232878125,0.00259915113486132,-0.00531649326762123,0.00495169133100794,0.00147838410179963,0.00322847369928363,0.00603476026475154,-0.0035484703305786,-0.00043385789512789,-0.000795464793553974,0.000122423257912073,0.00466087523886835,-0.00346127507952673,-0.000214858651854344,0.00120184608003042,-0.0017584140652465,0.00136116854532914,-0.000991487108639759,0.00192361252699757,0.000555229977849374,-0.00161906332093649,-0.00258624131157088,0.00110248827765902,0.000201370421105907,-0.000888094501579526,-0.000875353038154146,0.000637082387287314,-6.6053739390874e-05,-0.000451812070320679,0.00050402613294431,0.000165815367590999,-0.000100469700985276
"2",903,11.4296929350968,1.11746281049174,-1.12396162824379,-1.12239425992509,0.0329576160083744,-2.09834240945322,1.27561620981204,-0.832515873406544,0.0802549466356725,-0.168660528011759,-2.69175259161364,-0.643767996076661,0.219007598730831,-0.551467265478072,0.45078176274524,2.1105864663851,-0.286731450274358,1.61005662167448,0.243133303205624,0.778532017120529,0.52928464824847,0.359542844518732,0.639045043976021,-1.47484589157304,1.00713025302193,-1.08941881565165,-1.09431541683278,0.202907307063981,-1.57434544323477,-0.510418007384732,0.483205027815803,0.00926056787577768,0.471119261674705,-0.353313536009821,-0.0560622887753714,-0.318395703940469,-0.299653559233491,0.361645662648411,-0.445360015200103,-0.583662264428689,0.561942728666918,-0.387694393807457,-0.319820033736696,0.379998270996186,0.254959589775885,-0.159539884312536,0.160856452445733,0.315551804370581,-0.176849169746723,0.290697008210343,0.607259856192819,0.0211725042192807,-0.0290784377885477,-0.311328017216906,0.0388183912771985,-0.594591722285433,0.137381810867147,0.26647401654018,0.0605651960081572,0.245149221986437,-0.506364338120267,0.249006817105732,0.00616786979217598,0.318554529474561,0.0854850897053608,-0.141208795884347,-0.0976394984570593,0.760618118193388,0.243318434043421,-0.159778771734313,-0.300016417042679,0.222968193848749,0.165829263222785,0.116784820928625,-0.116567009995185,-0.0145977577626796,0.249807703336685,-0.120370193929044,-0.120745557787477,0.178405549412816,-0.159949360259858,0.194001349571727,-0.251185370126291,0.0276191517718603,0.42117599803929,0.18543531223473,-0.0984294256561259,-0.149484093355338,0.0120231839816392,0.131826477506425,0.0305843468258766,0.0776565044945898,-0.0691802384759361,-0.0278186816640001,-0.08993213774265,-0.0173920762814961,-0.0734153899850794,0.050957256253448,0.0524028983024029,-0.0402597384760164,-0.0569967044577629,0.00121019891759096,0.0035912379572415,0.00328762696700541,0.0044705477664189,-0.00138681325799232,-0.00146092550412792,-0.00107256702466429,-0.000681626896683409,0.000901915558505677,-0.000261715177100073,-0.000978228934502856,-0.00122878561649914,-0.000462936382416187,-0.0025043037709621,-0.000574730094702754,-0.000778733742909572,-0.000456178909323816,0.000574469394174076,0.00199306505472356,-0.00212329569596291,-0.00182735700982806,-0.000103899183840026,0.000269646477892361,0.000856692955643465,0.000454037751088463,-0.000483163122611478,-0.000493569956271918,6.0114247616952e-05,0.000193467130076369,-0.000200046866619483,-3.34254257576548e-05
"3",905,5.74273419984572,5.85943949772514,2.6923444588576,-7.40734482155642,-0.927892659018033,2.7331534079548,-1.26154331196829,-1.91980642736542,2.31759769389354,2.36993599818963,-0.755951443450191,-0.0839487036735249,-0.192496792296003,-0.527502882660429,-2.09107849705471,1.40691651719078,0.285577445451503,1.49741331271439,-0.0876235526921656,-0.193688115822614,0.738122607861145,-0.66252617102242,-0.823090848265414,-2.28104600124298,-1.04123205581161,-0.176006949318492,0.339159559142986,-1.82325197717668,-0.694694943245627,1.68779452105897,-1.74577595856749,-2.09797352362092,0.21462777151549,1.2726664852863,3.49834987392025,0.706901045491835,0.471454564681189,0.314421401785938,0.0194580046928647,-0.110374134356022,0.245027903019846,-0.403680206573531,0.149049876623545,0.0544169166945355,0.489110384063666,-0.378559404736311,-1.21846252179648,0.928611545861516,-0.565032715904253,-0.344413950577075,-0.0475895101035135,-0.024442709841154,0.341189977020282,0.512873652048408,-0.727810760315577,-0.319491039787344,0.237770297792513,-0.497160575006368,0.0872844607594461,0.0718856133284724,0.132298201088007,0.200168670793656,-0.0221138825308051,-0.676953378746946,-0.189326575000264,-0.222452789897965,0.0716257925143634,0.758181260411785,0.448542632079907,0.0959519470499679,-0.0786381384804981,0.688171596344514,0.364228742009251,-0.129769105655856,-0.216240769180423,-0.0194890970906096,0.311816438941341,-0.735628521923672,-0.494438378765916,-0.535760523757686,0.160639621265742,-0.241715788753995,-0.0921071949578623,-0.0192294154209731,-0.117056678361798,-0.201469843771722,-0.0230497200186728,0.131575193144871,-0.293926729412742,-0.267392850099679,0.056271784664433,0.0686412967445245,-0.169001652732481,-0.0101424663001107,-0.056776000476025,0.102268813645473,-0.0303918437745889,0.0322439743446674,-0.0503000558894471,-0.0310300632348333,0.053344954561185,-0.0552075624437186,-0.013593041486079,0.0073456721194601,0.0130652199105308,-0.00242491225421101,0.00208729727915056,-0.000647626072899745,0.00223616999295507,-3.05819561383939e-05,-0.00035101714200982,-0.00157210519720486,0.0022536864086696,-0.00100622340953567,0.000840966447554721,1.21264690918531e-06,0.000209817074670001,-0.00120814338687528,0.000510212258188389,-0.000238802350760255,-0.000453182038702727,0.000294394344921804,-0.000912583727416469,0.00129361611311305,-0.000302150898916364,0.00060545574172261,0.000194713076805947,0.000789710654877871,0.000151481840142059,-4.45897267205134e-05,-5.68204491359591e-05,3.89105622027902e-05
"4",906,9.8264145516408,-3.41387207772018,0.825187346638438,-3.00497468186744,1.44302654772174,4.23142037029706,1.63889964929735,1.56768157671886,1.42729341997347,-1.78293660795074,-1.43173812756993,0.475916758544406,4.55243380332257,2.18775160975257,-0.274520475693127,-0.35886203474098,0.561203605993587,-1.17424558711343,1.8200118015729,2.0857772056408,0.642982873024528,-0.334505409858139,0.639082474105432,-0.495228469569123,0.741492485689286,-0.402763524439067,-0.507043896566728,-0.445617175070733,-0.760829179721948,0.31667233362037,0.167529778392469,-1.19600349397698,2.60420365075336,1.26195864256293,0.0604218555759923,-0.841301775041457,-0.658283655485967,1.83609014433896,1.70432238040576,-0.559812631377832,-1.31088208656413,3.21455711427118,-0.00772814295612975,-0.353999415369038,-0.60809122337437,-0.914448060147674,-0.039428609130396,-0.0531291234635818,-0.31544419902506,-0.167649427690303,-0.333142703687043,-0.751762305892272,0.207072404672615,-0.286162994475937,0.777418389574266,-1.03666462199415,0.0135773071317987,0.175858600745181,0.198060119545633,-0.58446923054957,0.32799367761129,0.316666348892648,0.0407961767762583,0.317734762386759,0.467431636682991,0.0357656128795089,0.0459320789623533,0.299099013508006,-0.474076806355968,0.0342660730212399,0.230875096638176,-0.0845465676656961,0.0977593814877486,0.247630710441408,-0.174782189107298,0.15966538904612,-0.0612191073720146,0.260103743817857,-0.0748926874662509,-0.138171231721691,0.17148668812092,0.122614442324204,0.00889138352476373,-0.271803597043248,0.0237576401449423,-0.0409366984988671,-0.283756628049835,0.0790504858648655,0.109765648004716,0.0596790287906559,0.0295221751938451,-0.00396858009658464,-0.0102460859084712,0.151618813430043,-0.0682774742417465,0.0725726919622238,0.061337279815699,-0.0734180356367448,-0.0415902921482527,0.0207256931898279,-0.0120202899457203,-0.000312987675139337,-0.00451229342166311,-0.00210993136904624,0.010941890786469,-0.00388540019347334,0.00381323953432302,-0.0036866707599765,-0.00271337659793982,-0.000898300259259448,0.0021383749407971,0.00149444321403904,0.000582259540697592,0.00141767197903998,0.00119176114496842,0.00212780212831391,-0.00204537294563199,-3.45505307884714e-05,-0.000639665746149772,-0.000724563527210922,0.000943570026430534,1.3622973112543e-05,0.000344573131139587,0.00186888745585558,7.91563276298025e-05,0.000250662289488044,6.34085493889718e-05,-0.000259817595840023,-0.000197356925691542,0.00022269178923838,0.000195602297488267,-7.53597859225316e-06
"5",908,4.82147831260178,2.10296546841789,-3.47590130654194,-2.82256820410613,-1.44073742208425,-0.490252616760691,-1.99128305188694,0.600661579148372,0.704699021861335,1.3860052003941,0.349118707816102,-0.0385990080423414,-1.00609166931673,2.21159332398674,0.626099408442921,-1.06614007342332,0.582937848240534,-0.28061514490926,2.00201268092673,-1.29171816001913,-1.85819017025288,-0.327376863793729,-1.51891315324607,-0.272798962402123,-0.910703818943477,0.159932699516075,-0.699162568629559,-0.197246975216988,-0.629260313929179,0.270338048572195,-0.259335053853464,-0.268595672309929,-1.37635870084771,0.264015241309408,-0.785672303581477,0.48206537838397,-1.95080935894701,-1.26782135170412,-0.0378378665811468,0.406577611609916,0.0403296919298095,0.163540283114355,-0.5529389848499,0.51322816926538,-0.427713709259182,-0.398627293723948,0.0665878619350165,-0.0113948109780653,-0.0655941684603355,0.0438242166513636,0.0405336311022804,-0.329362329487964,0.414255823731737,0.0843253696556841,0.0395104258022552,0.26482761130666,-0.0715427260780676,-0.494802728890061,-0.00847844166768676,0.0596228538489248,-0.352222865432932,-0.279799785281115,0.0228862930651482,0.0616122219196141,-0.303089946873765,-0.400603745538577,-0.00482000501815985,-0.0361864409081082,0.122635171001084,-0.00132316564747126,0.218200079614701,-0.160800762597113,-0.278199935605411,-0.0048283987234255,0.0647064309328577,0.0459310154189898,0.0651220773588616,-0.106996596857682,-0.0972835988466496,0.221119328040764,-0.0381103464024503,-0.0365191188339718,0.0917918171819787,0.0232053345067258,-0.125165416323294,0.300423189810196,0.0430202723805225,0.0908533037191742,0.0902459207470725,0.0629840391125477,-0.0184876634279592,0.118523827565431,-0.0277574786696777,0.0212122329792113,-0.0794779112419845,0.0823043615837267,0.0438188007122624,0.0638378316440572,0.028658323551847,-0.0279214707445434,-0.0148929749578164,0.00432696639170508,-0.0100593760481324,-0.000303037679671191,-0.00573399325566021,-0.000649895667957929,-0.00105532179053903,-0.000937032503157516,0.000659114954354961,-0.000310199467442472,0.000307848455069404,-0.000663973602775503,0.000473599515033855,0.000773571971131682,0.000459665485383135,0.000734771272055014,-0.000367268857396583,-0.000194074389523037,-0.00112290465938056,0.000238824090771831,-0.000703595706093793,-0.00018605702351421,0.00112260725765037,0.000533704771704464,-0.00029935290331552,-0.000144384418863366,0.000250761227452804,0.000587482424288461,-0.000112196166180591,7.60905517741986e-05,-0.000492761593701527,0.000117993679591469
"6",1001,8.12606083357305,0.94959052051608,5.17781082869104,-4.32669633085794,0.240613886980813,-1.92994562576705,0.985380352353736,-0.138182966905593,-0.170798671656797,-0.176514320891778,-0.872228798803593,-1.02188684314961,-1.00691395815713,-0.723222116864547,-1.26240005358672,0.786111020263351,-1.66681052741535,1.35822418343035,0.286855001066283,1.37727425051623,-0.266544141752173,-1.31316552383538,0.517615433768493,-0.334127726576558,-0.0619457009356699,-1.13391153837517,-1.32657224475256,-0.510923517906834,-1.26288716364378,0.160021669282262,-1.36880721896044,-0.865165896133221,1.35923038809919,-0.854679633881297,0.361226600579967,-0.545900357564112,-0.797023809040573,1.07893398111591,-0.63159548852351,0.215479480767824,0.880949929740444,-0.143099278670944,-0.0859599501851506,0.39518656168657,-0.468042557591852,0.191278460692191,-0.31211879606601,0.237361263736614,-0.282711261188727,0.10439031268413,-0.21101162453954,-0.267211704004975,-0.74374528202716,-0.430676196640572,0.298063961906893,1.07762982439978,0.337803902829601,-0.540584685493983,-0.165781189831888,0.502396930228627,0.531057871946608,-0.502017681192042,0.0644276112280261,-0.0477384638996502,0.305415797792621,-0.435416151863535,-0.27321420730689,-0.273228840527297,-0.267409516636419,0.117218682470516,-0.177585272164701,0.299016767338735,-0.206686925383583,0.148002368772536,-0.0845600617238307,0.128453550804206,-0.0319562940804891,-0.162088826656754,-0.261447309213431,-0.358946800009557,0.0783254525476691,-0.158749735322168,-0.0526143213362483,-0.0642913227089065,-0.00661466528811696,-0.0548360942059074,0.0580515287015703,0.098338965818295,-0.0158195460863853,-0.0134526091269037,0.180480536612419,0.136633981441079,0.0297197524961286,-0.0486734757363397,-0.0320101056679916,0.0617390666323326,0.159507884204396,0.0836919154187248,-0.0513400401758403,0.077297340055994,-0.0289457674203666,-0.00975601020194766,0.0049435435006714,0.00542680843632845,-0.00317244338137959,0.000613274035984933,0.00410779215373679,0.000965103483690216,-0.0017352760688021,0.000843009745655573,-0.00160824278938911,-0.00183507030144239,-0.00147185959048449,0.000712678733583003,-0.000850173360692929,-0.00211608827685875,-0.000354445841501957,0.000797319988578403,-0.000796922293295318,-0.0012539348774245,0.000626401567208122,0.000936224336969329,-0.000285273248833979,0.000344467716736768,-0.000971697531948086,-0.000434754439088901,0.000355863957839912,1.56582649090785e-05,6.5088461475743e-05,-0.000211167009967569,-1.64608377943652e-05,1.95565184867779e-05
"7",1002,1.44822477894037,-3.44301815103478,0.106577477465374,-2.17239509312223,0.16120106645886,1.97625035042778,-0.354036307352095,0.12929120620831,-1.19670051608402,-0.905826925453714,0.845023472521174,-0.755746980141199,-0.149280968402563,-0.111087492387439,1.80378727547043,1.29215696908989,-1.47866219688285,0.48421539315161,-1.14503762304749,-0.222120832217019,-0.537470381787398,0.392149220675831,1.62620474925398,0.657386833021605,0.733061689989287,-1.07335909985671,-0.394201125347461,-0.407403868637167,-0.154559059667646,1.48382683374315,0.536475992841436,-0.880422245843982,1.65375658200716,1.0039804896556,-0.393033253226625,-0.6391277356337,-0.272793501877649,-0.623330395989372,-0.790204537182896,-0.431439305244001,0.637046546820597,-0.570919874573587,0.249535484477868,-0.0392058670529648,-0.386152771721097,0.0854545988088124,0.507539888879992,-0.0746165036533552,0.33948568313375,-0.551466959602021,-0.509386548891793,0.154656794857437,0.156443217471516,0.340600751083243,0.479233342387691,0.253458238692922,0.663676905883678,-0.4263318067295,0.331201474839719,-0.0760742479430563,-0.301237504655045,0.0917755641989474,-0.360192033655924,0.191245229183548,0.50068918706031,-0.14620863752462,0.0552528499870385,-0.0330307352084811,-0.525448902585925,0.436758256035375,-0.0485620033396222,0.106652074613103,-0.243171191974911,-0.0261114572121477,-0.143068043445644,0.0826296462389557,0.101742813295825,0.015395990422547,-0.192543799074636,0.0563871790610701,0.0109310277003963,-0.0246768625191447,-0.0321762576857153,0.0320540317503613,0.0136829361601403,-0.174516698118357,0.150836723028887,0.0162028851397997,-0.0915107049731169,-0.0892697052170479,-0.0901472567561063,-0.0195301736809565,0.00513685879686392,0.081526094276479,0.0180635058799682,0.00678808593825043,-0.0349120111929655,-0.0526133937588197,-0.0543014898630562,-0.0513605038700626,0.0143928150866066,0.00897462596277736,-0.00241402364926607,0.00690654604934742,-0.00362199126314373,0.00512745731520379,0.00440005375169572,0.000259902182628873,-0.00118045754151037,0.00162870609484065,-0.00148572255605558,-0.00094034725031434,0.000325142687920467,-0.000998125414354014,-0.000309381652659269,-0.000793501270645883,-0.00285133351150341,0.000861896655515658,-0.000718703680902324,-0.000673619456278046,-0.000560931606392586,-0.00014517146076209,-0.000118966027061327,0.000142020276466628,-0.000399772563147457,-8.74271871619924e-05,-0.000245237968113362,-6.61229940584588e-05,3.22440167285647e-05,-5.47397876437168e-05,-8.97358990154669e-05,-6.76849480607805e-06
"8",1003,-6.96390443444475,-5.55707115736537,0.826411165891721,-2.70111455998301,0.776517943475283,0.459614540241328,0.0265871983846948,0.153345899159592,-1.01908145998618,1.0627086256174,1.44654772181848,-1.1532740585899,0.0590144348341437,0.208179673656449,2.07209135517344,0.361394152081609,-0.557464104993801,0.212105889974814,-0.609220324292816,-0.171569552704609,0.545586228790286,-0.0407416959155301,0.0577420145324413,0.185624254284696,0.444643822252184,0.538900274075757,0.473438366459568,0.997603407530087,1.4985375437361,1.68211156452414,0.25134927851932,-0.230190817555795,1.09333282818119,0.0248075325481662,0.180311214083679,0.54683005402324,0.180867533062685,0.0443599473760374,-0.18772584287075,-0.148557943189557,0.0655112492795741,-0.839003054580485,0.133556756160467,-0.518582824885637,-0.0567029833218946,0.218371353202984,0.253677265225255,0.27982604733,0.33612800792188,-0.523971662234624,0.250585904583685,-0.192009782005288,-0.065434294015971,-0.192708820944741,0.0628113373100197,0.241485399292958,0.678628260151217,-0.150347812960104,0.189778010832502,-0.0207434815632287,-0.29253447505487,-0.0364296406059652,-0.13604269664262,0.286008634689527,0.19115352129844,-0.566261621501106,0.340632440449884,-0.231779410177906,-0.406935123434622,0.175194097708994,0.133133187322071,0.19182175756818,-0.113155161457222,0.0187669685773602,-0.175112049696692,0.125100591055264,0.0407107448110054,-0.0838410237007677,-0.111401202560733,-0.114566422873481,-0.114044654601444,0.0212825614755528,0.0342631466608185,-0.0901094922181892,0.108390776774735,-0.139656426712745,-0.116481606396836,0.0549975315920468,-0.0429574613001257,-0.00182633888111121,-0.0417246897908323,-0.0152459000405444,-0.00354346681406388,0.101593644004865,-0.0124481692705696,-0.0253708245377901,0.0127977555558688,-0.00999826683582915,0.00961576784394413,0.0223210987059365,0.00697051062513114,-0.00357436040557051,0.00401507010101082,-0.00510686962915538,-0.00219739899770663,-0.00220072683140278,-0.000578269979257595,0.000257358954205095,0.000493418986226071,-0.000752885236124825,0.000397883537053402,-0.00075910263660128,0.000541193957821711,-0.000663339950213217,-0.00120674187546151,-8.81182601165909e-05,-0.000362416572947038,-0.000502282858450932,-0.000593624205043464,6.87310470174711e-05,0.000227247153497397,-0.000927494594967673,0.000161028865863468,4.83017866913809e-05,-8.06017805523025e-05,-0.000168971803598365,-1.04438462714962e-05,3.99984650850785e-05,6.25459866140956e-05,-0.000140637414204001,-1.64763392671125e-05,4.29403175408568e-06
"9",1004,0.0247496752153393,-5.08326836346887,0.901338335091485,-1.48416078652407,1.11828736147877,-0.137832325669093,-0.140818539105218,0.972497312573026,-1.47334480214786,1.02054574667061,1.13177073976807,-0.475537207358579,-0.94756896095457,-0.476784583873634,1.49936064436498,0.151596877880754,-2.1388525877645,-1.04902796228509,-0.404049049942983,0.27179829254191,0.206299698379438,0.793509444124335,1.35004646237275,0.297026708685897,-0.0465045994241202,-0.555671039832162,0.557203215291306,0.640003192367565,-0.214957206841236,0.344829864818045,-0.333895245093803,-1.15337097195464,0.65362121333869,0.0711935671240855,-0.368309445803422,-0.296066095650779,0.225519936308822,-0.457688618154103,-0.519070204912312,0.172289646237181,0.894761016572192,-0.0683147452400455,0.573026283129638,-0.705859890361451,0.00247957074752011,0.399912607770959,0.560870822962589,-0.171258632125244,0.207777313732373,-0.324941067058674,0.450714276923539,0.177950347649357,-0.242812903584636,0.114139640337126,0.194604297140797,-0.192077417945582,0.435341181148165,0.0528722821105024,0.0834695561580813,-0.0601985266111913,-0.591645753470327,0.0165845365498986,0.175847826777543,0.560089022985191,0.0168208654942241,-0.15256740213175,0.196403789659316,-0.322656721028988,-0.25555665816232,0.250021255656323,0.184393313029127,0.243026285076194,-0.0867191144818426,0.114360055230538,-0.118390248568555,-0.0121550386995081,0.0449438263603328,-0.0249762160236534,0.0584715282907473,-0.092515575300905,-0.0498534624242488,0.0174326366030501,-0.158168286801645,0.159919004715118,0.0272086326688225,-0.0955677818729156,-0.0378563349735829,-0.159585715626275,0.0920511878329854,0.098527015107935,0.0898009955438972,-0.0708723106423319,-0.0541545466721773,0.0168324012572736,0.0197375184248409,-0.0391315483040898,0.0525303579539666,0.0279079767773257,0.0500649178864539,0.00177624832091633,-0.00810449397295121,-0.00209833115983223,-0.00396286582860055,0.000407745013697803,-0.00443934020333791,0.00220877628020384,0.0014372233662952,0.00223146474710878,-0.000101831632555811,-0.0010937703141535,-4.74764381658692e-05,0.000250944327945166,-0.00107194982403176,-0.00200061511301287,-0.000151571316941309,-0.000729525651297067,0.000446615894869435,-0.000224494587506321,0.00109778211811503,-0.000295764170578019,-0.000637116427427771,-0.000197474849399705,-0.00061146209834332,-0.000167524524807912,2.8548218928038e-05,0.000332435874506587,-0.000105229266373656,-0.000224981981843733,0.000184328084999473,0.000200534915491564,9.99502510382078e-05,-1.49518852998474e-05
"10",1005,3.54084121505915,-3.50383109696848,0.794107710462369,-2.33554688890943,0.769698156611931,1.92044156626415,-2.5845351006564,1.42095262343977,-1.43607981333013,0.817190417876815,-0.546251855316739,-0.820250013429283,-1.89004714018017,0.984598336585693,1.48487118732699,1.6206968241312,-0.65358611930165,-0.425808650627919,1.30270205096331,-0.422622649362501,-0.526256545171435,0.368205241112377,-0.801434833452718,1.14722332953436,0.104591063259577,0.143307690199207,0.310881260236776,0.990199517214096,-0.330868172837123,0.343202506957767,0.852866145939438,-0.676014631609805,0.252353764772228,-0.909312339251218,-0.0762311458386827,1.30454043028494,-0.0029389544885965,-0.762302684001858,-0.813090790201665,0.162316403804479,1.02606760134955,0.896464349752607,-0.443404906688984,-1.43679089703605,0.0704713103797542,0.297720162537822,-0.3072491296153,-0.192129062083034,0.544915916392489,-0.139473000763835,-0.0390188496558381,0.242664937684875,0.26512364756702,0.193499039556326,-0.0788749434803023,0.13927594773276,-0.142643022269551,-0.29283345818667,0.327309777186756,-0.330935702317984,0.301884204789962,0.310808035740268,0.125910641434533,-0.367422322450784,0.0973845269201821,0.0981826726698001,-0.538531296740409,-0.0936146318944599,-0.359878181045456,-0.0671051391662227,-0.220628266752415,0.0736084741926861,-0.191994795857844,0.059809201069934,-0.31806058867622,0.0530546140603877,0.1066243402405,-0.347099063278482,0.246695431554821,-0.103847928754351,-0.073284206184903,-0.125339017086399,0.139241217143274,-0.0575531268979483,0.136354176468492,-0.0642583371805789,0.0334830957114422,-0.0582551815846133,-0.0147442613932791,-0.0612751488937742,-0.023408640436796,-0.0301452296137871,-0.0459571957985308,-0.00942553949884489,0.0433479128868305,0.0487139254849116,-0.0220036447600341,0.00641740151302853,-0.00809752632425901,0.0303564123012044,-0.00214361069712613,0.00152429758064511,-0.0161344608723055,0.00723501452006089,0.0035142809441359,-0.00379407183251222,4.29640576856099e-05,-5.53621159577592e-05,0.000460057093626223,0.00353060367762042,-0.00101058551023752,-0.00197059194985526,0.000443113431498563,-0.00195220185167651,-8.1445816087993e-05,0.00112422020886019,-0.000308788003961827,-0.000599527941633449,-0.000558604849280829,-0.000437740883209523,0.000264348114956455,-0.00140357236790358,0.000661065909628627,-6.73553296692889e-05,6.7554070318826e-05,0.000429400337420512,0.000181037740857567,0.000215493418465786,2.54613341292937e-05,-0.000269914487209877,9.11481810889651e-05,3.61221427682914e-05
