"","number","name","address","lat","lon","nombre","effectif","eff_00","eff_01","eff_02","eff_03","eff_05","eff_06","eff_07","eff_08","eff_09","eff_10","eff_11","eff_12","eff_13","eff_14","eff_15","eff_16","eff_17","eff_18","eff_19","eff_20","eff_21","eff_22","eff_23","eff_24","eff_25","eff_26","eff_27","eff_28","eff_29","eff_30","eff_31","eff_32","eff_33","eff_35","eff_36","eff_37","eff_38","eff_39","eff_41","eff_42","eff_43","eff_45","eff_46","eff_47","eff_49","eff_50","eff_51","eff_52","eff_53","eff_55","eff_56","eff_58","eff_59","eff_60","eff_61","eff_62","eff_63","eff_64","eff_65","eff_66","eff_68","eff_69","eff_70","eff_71","eff_72","eff_73","eff_74","eff_75","eff_77","eff_78","eff_79","eff_80","eff_81","eff_82","eff_84","eff_85","eff_86","eff_87","eff_88","eff_90","eff_91","eff_92","eff_93","eff_94","eff_95","eff_96","eff_99","nb_00","nb_01","nb_02","nb_03","nb_05","nb_06","nb_07","nb_08","nb_09","nb_10","nb_11","nb_12","nb_13","nb_14","nb_15","nb_16","nb_17","nb_18","nb_19","nb_20","nb_21","nb_22","nb_23","nb_24","nb_25","nb_26","nb_27","nb_28","nb_29","nb_30","nb_31","nb_32","nb_33","nb_35","nb_36","nb_37","nb_38","nb_39","nb_41","nb_42","nb_43","nb_45","nb_46","nb_47","nb_49","nb_50","nb_51","nb_52","nb_53","nb_55","nb_56","nb_58","nb_59","nb_60","nb_61","nb_62","nb_63","nb_64","nb_65","nb_66","nb_68","nb_69","nb_70","nb_71","nb_72","nb_73","nb_74","nb_75","nb_77","nb_78","nb_79","nb_80","nb_81","nb_82","nb_84","nb_85","nb_86","nb_87","nb_88","nb_90","nb_91","nb_92","nb_93","nb_94","nb_95","nb_96","nb_99"
"92",4104,"04104 - SEBASTOPOL RAMBUTEAU","FACE 40 BOULEVARD SEBASTOPOL - 75004 PARIS",48.8618831022142,2.35022097609622,557,771,0,0,0,0,0,0,0,0,0,14,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,38,57,9,0,0,0,0,0,137,6,2,0,0,11,0,315,0,1,14,4,33,6,0,42,3,0,1,0,11,1,11,5,0,4,0,0,0,0,0,0,0,17,0,10,0,0,1,0,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,6,0,11,1,26,52,2,0,0,0,1,1,41,8,9,1,1,21,2,30,2,3,76,23,49,16,0,18,17,0,6,1,4,3,16,11,0,13,7,0,2,19,0,0,5,32,0,5,0
"93",4105,"04105 - MORLAND","17 BOULEVARD DU MORLAND - 75004 PARIS",48.8499600352775,2.36323986872132,243,3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,0,10,0,21,4,0,0,0,0,1,0,0,0,26,0,3,50,0,0,20,0,0,0,0,0,5,0,3216,3,0,0,50,3,20,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,1,8,1,3,0,1,5,1,3,5,6,0,0,0,5,2,0,0,68,2,13,2,0,4,4,0,0,1,1,0,9,3,16,11,12,0,3,20,5,0,1,17,1,0,0
"94",4107,"04107 - BEAUMARCHAIS","27 BOULEVARD BEAUMARCHAIS - 75004 PARIS",48.8555013577017,2.36842906992905,1022,708,0,0,0,0,0,0,0,0,0,6,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19,1,116,0,0,0,0,0,32,100,5,21,3,0,8,1,4,11,7,8,44,5,11,0,20,1,0,0,1,6,3,66,10,0,53,4,0,3,6,21,0,11,24,4,21,0,0,1,0,0,0,0,0,0,0,5,0,0,0,5,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,5,13,21,98,2,0,0,0,1,4,25,18,17,1,1,13,5,27,2,9,180,24,47,15,2,4,21,0,2,1,4,1,129,20,0,19,36,1,5,67,2,0,6,130,3,18,0
"95",5001,"05001 - SAINT GERMAIN HARPE","32 RUE DE LA HARPE - 75005 PARIS",48.8515813400282,2.34370453672277,285,1315,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,0,0,0,0,0,36,174,4,0,0,0,0,0,3,0,6,2,0,1,0,0,0,0,0,0,0,0,811,4,100,0,11,2,0,50,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,7,0,5,25,2,0,0,0,1,4,41,4,1,0,0,1,1,8,3,3,56,6,16,3,0,1,8,0,1,0,4,3,8,8,0,8,8,0,2,15,0,0,1,14,0,4,0
"96",5002,"05002 - SAINT JACQUES","20 RUE SOMMERARD - 75005 PARIS",48.8503104329245,2.34501583529859,547,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16,0,1,143,4,0,0,0,0,12,46,11,12,0,0,11,0,54,0,0,3,4,12,7,21,2,2,0,0,0,0,0,45,2,0,610,2,0,0,0,0,0,10,16,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,18,1,10,53,4,1,0,1,0,3,15,25,16,0,0,24,2,16,0,4,76,16,66,16,12,6,15,0,2,0,3,1,14,11,0,19,18,0,0,23,0,0,4,36,1,6,0
"97",5003,"05003 - GAY LUSSAC LE GOFF","9 RUE LE GOFF - 75005 PARIS",48.8462392817034,2.34132491601157,545,857,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68,0,0,0,0,0,26,114,30,0,0,3,6,0,12,0,10,6,12,11,2,50,1,1,0,0,0,1,0,9,0,0,420,6,0,3,3,0,0,0,29,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,11,40,0,0,0,0,1,4,32,7,0,0,2,6,1,8,1,4,126,52,35,11,5,3,22,1,1,0,3,0,17,7,0,17,16,0,2,29,0,0,7,61,1,4,0
"98",5004,"05004 - SAINT JACQUES VAL DE GRACE","272 RUE SAINT JACQUES - 75005 PARIS",48.8418659565261,2.34120202666239,760,844,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,10,9,0,0,0,0,0,42,49,12,4,0,0,2,3,1,101,1,5,15,2,15,1,1,0,0,0,0,0,0,17,2,0,208,0,200,21,0,0,0,14,94,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,6,3,15,21,5,0,0,0,6,8,29,7,8,0,0,15,9,18,3,5,151,34,55,18,6,5,19,0,0,0,0,2,29,9,1,41,32,1,9,69,2,0,8,80,4,11,0
"99",5005,"05005 - SAINT JACQUES GAY LUSSAC","27 RUE GAY LUSSAC - 75005 PARIS",48.8447302561321,2.34192394486641,517,3451,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,12,53,2,11,0,0,0,0,9,3,0,5,4,4,0,3006,1,1,0,6,0,0,0,17,0,3,220,3,0,0,0,0,0,0,43,0,16,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,6,31,0,0,0,1,1,3,26,5,5,0,0,6,1,8,1,6,117,20,48,8,16,4,11,0,1,0,1,0,18,6,2,22,33,0,1,27,0,0,3,58,1,8,0
"100",5006,"05006 - SAINT JACQUES SOUFFLOT","174 RUE SAINT JACQUES - 75005 PARIS",48.8465169205868,2.34312380336734,509,521,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,23,37,0,0,0,0,0,10,121,1,110,0,0,1,0,16,0,3,13,7,22,1,0,1,0,0,0,0,0,0,24,1,0,12,0,0,50,0,1,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,3,0,10,27,3,0,0,0,1,1,44,11,10,0,0,7,2,12,0,5,109,21,50,9,2,5,7,0,0,0,1,0,40,8,0,15,13,0,2,25,1,0,7,35,0,6,0
"101",5007,"05007 - ECOLES CARMES","39 RUE DES ECOLES - 75005 PARIS",48.8489190079083,2.34720132952048,666,457,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,9,49,0,0,0,0,0,95,71,15,11,0,0,1,0,19,0,1,15,2,5,0,0,1,0,0,0,0,0,0,17,4,0,30,22,0,1,1,0,0,0,37,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,1,14,59,6,1,0,1,4,16,40,15,13,0,0,12,3,10,0,4,144,9,43,7,0,8,17,0,0,0,4,0,28,11,4,17,20,0,2,63,2,0,5,57,1,8,0
"102",5008,"05008 - ST GERMAIN-DANTE","9 RUE DE DANTE - 75005 PARIS",48.8509772297936,2.34607682591354,404,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,59,0,0,0,0,0,20,133,100,0,0,0,1,0,1,1,0,25,13,3,0,0,0,0,0,0,0,0,0,11,3,0,80,20,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,41,0,0,0,0,0,2,36,6,4,0,1,3,3,6,5,2,99,37,26,3,2,1,11,0,1,1,3,0,19,6,1,15,14,1,1,18,1,0,4,12,0,5,0
"103",5009,"05009 - SQUARE VIVIANI","6 RUE DU FOUARRE - 75005 PARIS",48.8516511793671,2.34746333451965,968,971,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,142,0,0,0,0,0,50,370,3,4,0,1,7,0,58,0,6,20,4,14,0,1,0,0,0,0,0,3,0,21,4,201,3,5,0,1,0,0,0,1,6,1,9,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,7,2,15,119,5,0,0,3,1,8,92,7,14,0,1,12,2,17,0,10,275,31,50,12,4,2,14,0,1,0,5,1,39,10,2,28,38,0,2,59,0,0,5,45,2,9,0
"104",5010,"05010 - SAINT MICHEL HENRI BARBUSSE","1 RUE HENRI BARBUSSE - 75005 PARIS",48.8437569813016,2.33930672198142,438,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,10,3,6,0,0,300,50,0,11,3,0,3,16,4,1,200,0,4,0,3,0,0,0,7,0,0,7,18,0,21,11,0,0,0,49,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,2,6,9,2,0,0,0,1,2,7,9,6,0,1,6,0,12,1,4,87,32,35,8,6,2,13,0,4,0,2,0,13,5,0,15,34,0,6,35,0,0,3,61,0,3,0
"105",5012,"05012 - ULM - LHOMOND","20 RUE DE L'ESTRAPADE - 75005 PARIS",48.8451434940088,2.34541268121351,570,1831,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,20,24,1,301,0,0,1,0,1,0,0,8,11,4,1,17,0,0,0,0,0,3,0,21,6,21,1207,0,0,60,15,50,0,4,39,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,7,14,4,0,0,1,4,2,13,10,12,0,0,9,2,21,0,10,132,13,53,9,11,6,13,0,2,1,1,0,35,7,3,14,19,0,5,48,1,0,5,66,2,4,0
"106",5013,"05013 - ULM ERASME","13 RUE ERASME - 75005 PARIS",48.8425479496716,2.3445966499316,600,4305,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,2,16,0,0,0,0,0,0,25,40,1,0,0,1,0,6,10,4,7,0,1,2,1952,1,0,1,0,0,0,0,25,0,110,2020,0,0,4,0,0,0,6,32,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,9,0,6,25,0,0,0,0,3,1,22,8,5,1,0,10,4,11,1,5,81,4,38,12,44,5,14,1,2,1,1,0,33,6,2,33,26,1,6,39,1,0,6,110,3,9,0
"107",5014,"05014 - CALVIN","8 RUE JEAN CALVIN - 75005 PARIS",48.8416327086177,2.348552018117,865,674,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,7,12,4,0,0,0,0,9,47,4,1,6,0,12,0,1,0,0,14,4,50,26,13,6,1,0,1,0,0,0,34,0,0,297,10,0,30,1,0,0,4,57,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,5,0,4,1,7,27,3,0,0,1,6,5,47,7,15,2,0,15,8,13,0,2,161,12,68,24,17,4,45,0,3,1,2,0,49,9,3,45,27,0,7,82,0,0,13,94,5,11,0
"108",5015,"05015 - MOUFFETARD EPEE DE BOIS","12 RUE DE L'EPEE DE BOIS - 75005 PARIS",48.8415076373901,2.34998304702979,621,670,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,3,0,0,96,0,0,0,0,200,13,146,7,4,0,0,0,0,9,0,0,3,0,6,14,0,0,0,0,0,0,0,0,16,0,0,28,11,3,13,12,20,0,15,3,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,5,2,12,71,2,0,0,3,1,4,73,13,12,0,0,12,1,8,0,3,103,1,38,16,1,2,15,0,0,2,2,0,26,10,0,23,20,2,4,51,1,0,8,35,2,17,0
"109",5016,"05016 - CONTRESCARPE-THOUIN","1 RUE THOUIN - 75005 PARIS",48.845062256378,2.34949778985778,827,516,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,20,0,0,0,0,0,14,224,14,4,0,0,4,0,12,0,3,16,1,10,1,0,3,1,0,0,0,0,0,26,4,1,46,2,0,46,7,0,0,20,6,0,3,0,0,0,1,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,1,3,0,20,38,2,0,0,0,0,11,113,10,17,0,0,21,2,15,0,5,159,6,48,20,2,5,27,0,0,0,3,0,38,13,1,31,35,0,5,92,0,0,11,45,1,9,0
"110",5017,"05017 - DESCARTES","17 RUE DESCARTES - 75005 PARIS",48.8466018657812,2.34901473289268,308,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,10,93,20,0,0,0,1,1,1,0,0,2,1,1,0,3,0,0,0,0,0,51,0,3,0,463,1,0,0,10,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,5,0,4,16,1,0,0,0,2,2,42,6,5,0,0,7,3,6,0,0,56,1,17,3,6,3,5,0,1,1,3,0,10,6,8,6,9,0,1,25,1,0,5,34,2,1,0
"111",5018,"05018 - MUTUALITE","20 RUE MONGE - 75005 PARIS",48.8483857647167,2.35016993902064,802,780,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,3,12,74,0,0,0,1,0,32,144,6,5,0,0,4,3,30,53,3,5,1,5,15,0,0,1,3,0,0,53,0,39,67,21,40,2,0,0,51,0,0,20,21,0,5,0,0,1,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,6,1,23,78,5,0,0,1,2,11,29,13,18,0,0,18,5,22,5,8,154,9,47,19,1,5,22,1,2,0,14,0,36,16,4,26,36,0,1,64,2,0,8,46,2,18,0
"112",5019,"05019 - POISSY","8-10 RUE DE POISSY - 75005 PARIS",48.8496904113704,2.35297018360202,1204,775,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,22,0,120,76,3,0,20,1,0,10,38,21,9,0,0,16,1,16,0,4,21,59,50,2,3,4,21,0,2,0,2,0,82,13,16,37,4,0,3,20,0,10,1,38,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,5,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,2,0,0,0,0,20,1,42,7,82,104,8,0,1,2,1,2,31,30,49,0,3,46,7,30,0,13,207,66,132,13,5,14,35,0,6,1,6,6,36,22,2,25,23,0,3,39,0,1,2,46,1,13,0
