"number";"cluster"
903;4
905;10
906;4
908;10
1001;5
1002;4
1003;4
1004;4
1005;4
1006;4
1007;4
1009;4
1010;4
1012;4
1013;4
1014;4
1015;4
1016;4
1017;4
1018;4
1019;5
1020;4
1022;5
1023;4
1024;4
1025;4
1026;4
1102;4
1116;4
2001;4
2002;4
2003;4
2004;3
2005;4
2006;5
2007;4
2008;5
2009;10
2010;10
2011;5
2012;10
2013;10
2014;9
2015;5
2016;3
2017;5
2020;4
2021;5
2022;5
2101;4
2102;10
2107;10
2108;10
3001;2
3002;3
3003;4
3004;9
3005;2
3006;4
3007;2
3008;2
3009;3
3010;4
3011;4
3012;3
3013;7
3014;4
3101;3
4001;5
4002;5
4003;5
4005;3
4006;5
4007;2
4009;4
4010;7
4011;5
4012;4
4013;4
4014;4
4015;4
4016;4
4017;4
4018;4
4019;4
4020;4
4021;4
4101;4
4103;4
4104;4
4105;5
4107;2
5001;4
5002;5
5003;9
5004;9
5005;9
5006;7
5007;5
5008;4
5009;4
5010;9
5012;10
5013;10
5014;10
5015;10
5016;8
5017;8
5018;4
5019;4
5020;5
5021;5
5022;5
5023;5
5024;9
5026;3
5027;3
5028;5
5029;1
5030;5
5031;10
5032;9
5033;4
5034;3
5035;2
5104;3
5105;3
5106;9
5107;4
5110;9
6001;3
6002;5
6003;9
6004;4
6005;8
6006;10
6007;9
6008;10
6009;9
6010;9
6012;9
6013;4
6014;9
6015;4
6016;4
6017;5
6018;10
6020;4
6021;9
6022;4
6024;5
6025;9
6026;9
6027;7
6028;4
6029;9
6030;10
6031;4
6032;9
6103;9
6104;9
6107;10
6108;7
7001;10
7002;7
7003;10
7004;10
7005;10
7006;3
7007;3
7008;3
7009;10
7010;10
7011;10
7012;10
7013;3
7014;2
7015;10
7016;10
7017;3
7018;3
7019;2
7020;3
7021;3
7022;10
7023;4
7024;3
7025;3
7026;10
7101;4
7102;10
7103;5
8001;4
8002;7
8003;8
8004;5
8005;5
8007;4
8008;4
8009;4
8010;8
8011;8
8012;8
8013;10
8015;10
8016;4
8017;2
8018;10
8019;9
8020;8
8025;10
8026;7
8027;9
8028;8
8029;10
8030;10
8031;5
8032;10
8033;10
8034;10
8035;10
8036;10
8037;8
8038;10
8039;10
8040;10
8041;10
8044;10
8045;10
8046;10
8047;10
8048;9
8049;8
8050;10
8051;8
8052;8
8053;8
8054;5
8055;8
8056;8
8057;8
8101;8
8102;10
8103;10
8104;8
8105;10
8110;8
8113;10
8115;10
8549;10
9001;6
9002;6
9003;9
9004;8
9005;8
9006;8
9007;6
9008;6
9009;6
9010;6
9011;3
9012;5
9013;10
9014;4
9015;6
9016;6
9017;6
9018;9
9019;9
9020;6
9021;6
9022;10
9023;10
9024;10
9025;10
9026;6
9027;9
9028;8
9029;10
9030;10
9031;10
9032;10
9033;4
9034;4
9035;8
9036;6
9037;8
9038;9
9039;5
9101;3
9102;9
9104;9
9106;10
9108;6
9111;10
9113;3
10001;9
10002;3
10003;10
10004;3
10005;3
10006;3
10007;3
10008;3
10009;3
10010;3
10011;3
10012;3
10013;2
10014;3
10015;2
10016;7
10017;2
10018;2
10019;2
10020;6
10021;7
10022;7
10023;7
10024;6
10025;2
10026;8
10027;8
10028;9
10029;1
10031;6
10032;2
10033;8
10034;8
10035;7
10036;8
10037;8
10038;9
10039;8
10040;8
10041;8
10042;5
10105;10
10107;8
10110;8
10111;3
10113;2
10114;2
10115;6
10151;1
10152;1
10153;1
10161;7
11001;4
11002;4
11003;2
11004;3
11006;6
11007;2
11008;2
11009;2
11010;5
11011;2
11012;2
11013;8
11014;7
11016;8
11017;6
11018;2
11019;6
11020;2
11021;8
11022;3
11023;2
11024;2
11025;2
11026;6
11027;2
11028;2
11029;6
11030;6
11031;2
11032;6
11033;3
11034;6
11035;2
11036;2
11037;7
11038;2
11039;2
11040;2
11041;2
11042;2
11043;2
11044;2
11045;2
11046;9
11101;2
11102;2
11103;2
11104;6
11105;2
11107;2
11109;6
11110;2
11111;2
11112;2
11113;2
12001;5
12002;7
12003;5
12004;2
12005;2
12007;7
12008;2
12009;2
12010;3
12011;2
12012;2
12013;2
12014;9
12015;7
12016;2
12017;3
12018;7
12019;7
12020;7
12021;8
12022;3
12023;7
12024;7
12026;2
12027;2
12028;8
12029;2
12030;2
12031;4
12032;3
12033;2
12034;5
12035;2
12036;8
12037;8
12038;6
12039;3
12040;8
12041;2
12042;7
12043;2
12101;3
12102;7
12105;5
12106;5
12107;2
12108;9
12109;2
12110;5
12111;2
12112;2
12113;3
12114;8
12115;7
12119;2
12120;9
12122;7
12123;9
12124;3
12125;4
12126;7
12127;10
12128;3
12130;8
12151;7
13001;6
13002;6
13004;3
13005;3
13006;3
13007;7
13008;1
13009;7
13010;9
13011;10
13013;3
13014;2
13015;3
13016;5
13017;7
13018;10
13019;5
13020;5
13021;6
13022;6
13023;9
13024;6
13025;3
13026;6
13027;7
13028;2
13029;8
13030;1
13031;7
13032;7
13033;8
13034;9
13035;1
