"P1";"P2";"P3";"time"
0,689322112218485;0,419087509291679;0,245980623966154;2017-03-07 04:20:00
0,683725936708419;0,407276317641672;0,252146361640878;2017-03-07 04:40:00
0,68216085742171;0,41538174377767;0,253441886312283;2017-03-07 05:00:00
0,676846362399628;0,413344620931285;0,258723491595323;2017-03-07 05:20:00
0,680768015910181;0,415367850523245;0,252721604780748;2017-03-07 05:40:00
0,679404426610063;0,416580588911533;0,253921813007971;2017-03-07 06:00:00
0,677887681568291;0,416703477177598;0,249983024734839;2017-03-07 06:20:00
0,673307456956802;0,420106185128277;0,246820415908353;2017-03-07 06:40:00
0,666117707297786;0,42421042678396;0,238846261430584;2017-03-07 07:00:00
0,634657300344859;0,433884774060594;0,236208595612858;2017-03-07 07:20:00
0,626285074845172;0,442640813465256;0,231625700293761;2017-03-07 07:40:00
0,614562155878967;0,458479367658297;0,221052414419176;2017-03-07 08:00:00
0,590458359881559;0,478002294698478;0,196231460416554;2017-03-07 08:20:00
0,551587773437924;0,517944324445545;0,179777077684036;2017-03-07 08:40:00
0,545391263857115;0,567924350733929;0,177016854983223;2017-03-07 09:00:00
0,54571512408891;0,619677090376954;0,172249967494018;2017-03-07 09:20:00
0,560739872005203;0,638116117021118;0,176130999349781;2017-03-07 09:40:00
0,561951180439239;0,654003153351879;0,180518258875411;2017-03-07 10:00:00
0,556666543567164;0,670438259995286;0,178536794325751;2017-03-07 10:20:00
0,563813696682772;0,654832290736414;0,184620430518984;2017-03-07 10:40:00
0,560202801664301;0,66926829773961;0,182792335076192;2017-03-07 11:00:00
0,55601191782829;0,650740957932346;0,183958016177604;2017-03-07 11:20:00
0,562434957419833;0,657866546522718;0,179072499967544;2017-03-07 11:40:00
0,561447282538226;0,620769262367986;0,187956664494445;2017-03-07 12:00:00
0,559821541600312;0,635556269079687;0,189627591473911;2017-03-07 12:20:00
0,570588700342721;0,612628597806471;0,186070460137893;2017-03-07 12:40:00
0,56560479607451;0,639106940622723;0,176119115635256;2017-03-07 13:00:00
0,566557217018838;0,626941072033092;0,186101094941194;2017-03-07 13:20:00
0,572067366722375;0,658757295535515;0,172782016897896;2017-03-07 13:40:00
0,567304883148633;0,636842744608943;0,176096152589525;2017-03-07 14:00:00
0,579014817194179;0,651747930527821;0,166987583686199;2017-03-07 14:20:00
0,564364682555589;0,647779025636409;0,170043234608857;2017-03-07 14:40:00
0,58179962170528;0,665169472640537;0,16623785236502;2017-03-07 15:00:00
0,583617256202768;0,654058566217739;0,165446258002681;2017-03-07 15:20:00
0,576956065032433;0,654231576150616;0,167812707437286;2017-03-07 15:40:00
0,57637788757406;0,644687015837382;0,155584441610056;2017-03-07 16:00:00
0,573079451648432;0,635156206937504;0,170955039175972;2017-03-07 16:20:00
0,576404146439274;0,602667543687806;0,170012683512393;2017-03-07 16:40:00
0,579306590999411;0,597111329248107;0,163928786714545;2017-03-07 17:00:00
0,57973745664189;0,571743881221648;0,165920681460936;2017-03-07 17:20:00
0,583590477016547;0,528399485419543;0,175460815748242;2017-03-07 17:40:00
0,597723545812614;0,514657710814443;0,183636742059475;2017-03-07 18:00:00
0,603632237579528;0,466179286174549;0,18042718223762;2017-03-07 18:20:00
0,61384602283653;0,449254737933989;0,193233221240477;2017-03-07 18:40:00
0,632334907648143;0,397577348095882;0,202429481603615;2017-03-07 19:00:00
0,633215208369172;0,367227132019915;0,214347072990393;2017-03-07 19:20:00
0,660351560082744;0,352596144899356;0,227051102101366;2017-03-07 19:40:00
0,67082783170657;0,342877198873221;0,236318841933496;2017-03-07 20:00:00
0,687032911156296;0,323062084937866;0,242118750560276;2017-03-07 20:20:00
0,696124070582236;0,323084311377704;0,260643762155941;2017-03-07 20:40:00
0,691159989844216;0,31841312385945;0,267467766121315;2017-03-07 21:00:00
0,708214755402414;0,313194702006345;0,271644993646848;2017-03-07 21:20:00
0,713222992187725;0,304239533869134;0,272973404210598;2017-03-07 21:40:00
0,707719879668347;0,301324359785297;0,268472325500479;2017-03-07 22:00:00
0,710685825492906;0,295767405477035;0,281772231783331;2017-03-07 22:20:00
0,721408165615533;0,287607088246864;0,275407597804156;2017-03-07 22:40:00
0,720291921369894;0,279440699402209;0,280010445406448;2017-03-07 23:00:00
0,720387515019234;0,276562754139926;0,280842255404384;2017-03-07 23:20:00
0,716672876765298;0,275033505109886;0,288522012960068;2017-03-07 23:40:00
