Variable;lbl;lbl2
eff_20;Effectifs salariés - Industrie chimique;eff_20 : Effectifs salariés - Industrie chimique
eff_21;Effectifs salariés - Industrie pharmaceutique;eff_21 : Effectifs salariés - Industrie pharmaceutique
eff_22;Effectifs salariés - Fabrication de produits en caoutchouc et en plastique;eff_22 : Effectifs salariés - Fabrication de produits en caoutchouc et en plastique
eff_23;Effectifs salariés - Fabrication d'autres produits minéraux non métalliques;eff_23 : Effectifs salariés - Fabrication d'autres produits minéraux non métalliques
eff_24;Effectifs salariés - Métallurgie;eff_24 : Effectifs salariés - Métallurgie
eff_25;Effectifs salariés - Fabrication de produits métalliques, à l'exception des machines et des équipements;eff_25 : Effectifs salariés - Fabrication de produits métalliques, à l'exception des machines et des équipements
eff_26;Effectifs salariés - Fabrication de produits informatiques, électroniques et optiques;eff_26 : Effectifs salariés - Fabrication de produits informatiques, électroniques et optiques
eff_27;Effectifs salariés - Fabrication d'équipements électriques;eff_27 : Effectifs salariés - Fabrication d'équipements électriques
eff_28;Effectifs salariés - Fabrication de machines et équipements n.c.a.;eff_28 : Effectifs salariés - Fabrication de machines et équipements n.c.a.
eff_29;Effectifs salariés - Industrie automobile;eff_29 : Effectifs salariés - Industrie automobile
eff_30;Effectifs salariés - Fabrication d'autres matériels de transport;eff_30 : Effectifs salariés - Fabrication d'autres matériels de transport
eff_31;Effectifs salariés - Fabrication de meubles;eff_31 : Effectifs salariés - Fabrication de meubles
eff_32;Effectifs salariés - Autres industries manufacturières;eff_32 : Effectifs salariés - Autres industries manufacturières
eff_33;Effectifs salariés - Réparation et installation de machines et d'équipements;eff_33 : Effectifs salariés - Réparation et installation de machines et d'équipements
eff_35;Effectifs salariés - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;eff_35 : Effectifs salariés - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
eff_36;Effectifs salariés - Captage, traitement et distribution d'eau;eff_36 : Effectifs salariés - Captage, traitement et distribution d'eau
eff_37;Effectifs salariés - Collecte et traitement des eaux usées;eff_37 : Effectifs salariés - Collecte et traitement des eaux usées
eff_38;"Effectifs salariés - Collecte, traitement et élimination des déchets ; récupération";"eff_38 : Effectifs salariés - Collecte, traitement et élimination des déchets ; récupération"
eff_39;Effectifs salariés - Dépollution et autres services de gestion des déchets;eff_39 : Effectifs salariés - Dépollution et autres services de gestion des déchets
eff_41;Effectifs salariés - Construction de bƒtiments;eff_41 : Effectifs salariés - Construction de bƒtiments
eff_42;Effectifs salariés - Génie civil;eff_42 : Effectifs salariés - Génie civil
eff_43;Effectifs salariés - Travaux de construction spécialisés;eff_43 : Effectifs salariés - Travaux de construction spécialisés
eff_45;Effectifs salariés - Commerce et réparation d'automobiles et de motocycles;eff_45 : Effectifs salariés - Commerce et réparation d'automobiles et de motocycles
eff_46;Effectifs salariés - Commerce de gros, à l'exception des automobiles et des motocycles;eff_46 : Effectifs salariés - Commerce de gros, à l'exception des automobiles et des motocycles
eff_47;Effectifs salariés - Commerce de détail, à l'exception des automobiles et des motocycles;eff_47 : Effectifs salariés - Commerce de détail, à l'exception des automobiles et des motocycles
eff_49;Effectifs salariés - Transports terrestres et transport par conduites;eff_49 : Effectifs salariés - Transports terrestres et transport par conduites
eff_50;Effectifs salariés - Transports par eau;eff_50 : Effectifs salariés - Transports par eau
eff_51;Effectifs salariés - Transports aériens;eff_51 : Effectifs salariés - Transports aériens
eff_52;Effectifs salariés - Entreposage et services auxiliaires des transports;eff_52 : Effectifs salariés - Entreposage et services auxiliaires des transports
eff_53;Effectifs salariés - Activités de poste et de courrier;eff_53 : Effectifs salariés - Activités de poste et de courrier
eff_55;Effectifs salariés - Hébergement;eff_55 : Effectifs salariés - Hébergement
eff_56;Effectifs salariés - Restauration;eff_56 : Effectifs salariés - Restauration
eff_58;Effectifs salariés - Edition;eff_58 : Effectifs salariés - Edition
eff_59;"Effectifs salariés - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale";"eff_59 : Effectifs salariés - Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
eff_60;Effectifs salariés - Programmation et diffusion;eff_60 : Effectifs salariés - Programmation et diffusion
eff_61;Effectifs salariés - Télécommunications;eff_61 : Effectifs salariés - Télécommunications
eff_62;Effectifs salariés - Programmation, conseil et autres activités informatiques;eff_62 : Effectifs salariés - Programmation, conseil et autres activités informatiques
eff_63;Effectifs salariés - Services d'information;eff_63 : Effectifs salariés - Services d'information
eff_64;Effectifs salariés - Activités des services financiers, hors assurance et caisses de retraite;eff_64 : Effectifs salariés - Activités des services financiers, hors assurance et caisses de retraite
eff_65;Effectifs salariés - Assurance;eff_65 : Effectifs salariés - Assurance
eff_66;Effectifs salariés - Activités auxiliaires de services financiers et d'assurance;eff_66 : Effectifs salariés - Activités auxiliaires de services financiers et d'assurance
eff_68;Effectifs salariés - Activités immobilières;eff_68 : Effectifs salariés - Activités immobilières
eff_69;Effectifs salariés - Activités juridiques et comptables;eff_69 : Effectifs salariés - Activités juridiques et comptables
eff_70;"Effectifs salariés - Activités des sièges sociaux ; conseil de gestion";"eff_70 : Effectifs salariés - Activités des sièges sociaux ; conseil de gestion"
eff_71;"Effectifs salariés - Activités d'architecture et d'ingénierie ; activités de contr“le et analyses techniques";"eff_71 : Effectifs salariés - Activités d'architecture et d'ingénierie ; activités de contr“le et analyses techniques"
eff_72;Effectifs salariés - Recherche-développement scientifique;eff_72 : Effectifs salariés - Recherche-développement scientifique
eff_73;Effectifs salariés - Publicité et études de marché;eff_73 : Effectifs salariés - Publicité et études de marché
eff_74;Effectifs salariés - Autres activités spécialisées, scientifiques et techniques;eff_74 : Effectifs salariés - Autres activités spécialisées, scientifiques et techniques
eff_75;Effectifs salariés - Activités vétérinaires;eff_75 : Effectifs salariés - Activités vétérinaires
