Variable;lbl;lbl2
C3;Distance à l'équipement le plus proche - Lycées;C3 : Distance à l'équipement le plus proche - Lycées
C4;Distance à l'équipement le plus proche - Formations post bac non universitaire;C4 : Distance à l'équipement le plus proche - Formations post bac non universitaire
C5;Distance à l'équipement le plus proche - Enseignement supérieur;C5 : Distance à l'équipement le plus proche - Enseignement supérieur
C6;Distance à l'équipement le plus proche - Autres formations;C6 : Distance à l'équipement le plus proche - Autres formations
C7;Distance à l'équipement le plus proche - résidence et restau U;C7 : Distance à l'équipement le plus proche - résidence et restau U
D;Distance à l'équipement le plus proche - Soin et social;D : Distance à l'équipement le plus proche - Soin et social
D1;Distance à l'équipement le plus proche - Hopitaux et assimilés;D1 : Distance à l'équipement le plus proche - Hopitaux et assimilés
E1;Distance à l'équipement le plus proche - Taxis;E1 : Distance à l'équipement le plus proche - Taxis
F1;Distance à l'équipement le plus proche - Sport;F1 : Distance à l'équipement le plus proche - Sport
F2;Distance à l'équipement le plus proche - Nautique;F2 : Distance à l'équipement le plus proche - Nautique
F3;Distance à l'équipement le plus proche - Culture (Ciné théatre musées);F3 : Distance à l'équipement le plus proche - Culture (Ciné théatre musées)
Ga;Distance à l'équipement le plus proche - Hotels et campings;Ga : Distance à l'équipement le plus proche - Hotels et campings
Gb;Distance à l'équipement le plus proche - Equipement pour tourisme;Gb : Distance à l'équipement le plus proche - Equipement pour tourisme
cinemas;Distance à l'équipement le plus proche - Cinema;cinemas : Distance à l'équipement le plus proche - Cinema
cinemasfauteuils;Nombre de fauteuils de cinéma à proximité de la station;cinemasfauteuils : Nombre de fauteuils de cinéma à proximité de la station
cinemasseances;Nombre de scéances de cinéma à proximité de la station;cinemasseances : Nombre de scéances de cinéma à proximité de la station
gare;Distance à l'équipement le plus proche - Gare;gare : Distance à l'équipement le plus proche - Gare
exp_RATP;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - station de métro/RER/tram;exp_RATP : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - station de métro/RER/tram
exp_RATP2;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - station de métro;exp_RATP2 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - station de métro
exp_A;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - services;exp_A : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - services
exp_B;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - commerces;exp_B : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - commerces
exp_B1;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - grandes surfaces;exp_B1 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - grandes surfaces
exp_C1;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - écoles;exp_C1 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - écoles
exp_C2;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - collège;exp_C2 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - collège
exp_C3;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Lycées;exp_C3 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Lycées
exp_C4;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Formations post bac non universitaire;exp_C4 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Formations post bac non universitaire
exp_C5;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Enseignement supérieur;exp_C5 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Enseignement supérieur
exp_C6;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Autres formations;exp_C6 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Autres formations
exp_C7;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - résidence et restau U;exp_C7 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - résidence et restau U
exp_D;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Soin et social;exp_D : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Soin et social
exp_D1;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Hopitaux et assimilés;exp_D1 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Hopitaux et assimilés
exp_E1;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Taxis;exp_E1 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Taxis
exp_F1;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Sport;exp_F1 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Sport
exp_F2;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Nautique;exp_F2 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Nautique
exp_F3;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Culture (Ciné théatre musées);exp_F3 : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Culture (Ciné théatre musées)
exp_Ga;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Hotels et campings;exp_Ga : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Hotels et campings
exp_Gb;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Equipement pour tourisme;exp_Gb : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Equipement pour tourisme
exp_cinemas;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Cinema;exp_cinemas : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Cinema
exp_distbord;Distance au bord (transformé exp(-distance²/sigma));exp_distbord : Distance au bord (transformé exp(-distance²/sigma))
exp_gare;Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Gare;exp_gare : Distance à l'équipement le plus proche (transformé exp(-distance²/sigma)) - Gare
aire;Aire de la zone d'influence;aire : Aire de la zone d'influence
RATPtrafic;Trafic de la station RATP la plus proche;RATPtrafic : Trafic de la station RATP la plus proche
