"number";"cluster"
903;8
905;3
906;8
908;5
1001;8
1002;8
1003;8
1004;8
1005;8
1006;8
1007;8
1009;8
1010;8
1012;8
1013;8
1014;8
1015;8
1016;8
1017;8
1018;8
1019;8
1020;8
1022;5
1023;8
1024;8
1025;8
1026;8
1102;8
1116;8
2001;8
2002;8
2003;8
2004;8
2005;8
2006;5
2007;8
2008;5
2009;5
2010;5
2011;5
2012;5
2013;5
2014;5
2015;5
2016;3
2017;5
2020;8
2021;5
2022;5
2101;8
2102;5
2107;5
2108;5
3001;2
3002;3
3003;8
3004;8
3005;2
3006;8
3007;2
3008;2
3009;2
3010;8
3011;8
3012;3
3013;1
3014;8
3101;3
4001;1
4002;8
4003;8
4005;1
4006;2
4007;2
4009;8
4010;1
4011;8
4012;8
4013;8
4014;8
4015;8
4016;8
4017;8
4018;8
4019;8
4020;8
4021;8
4101;8
4103;8
4104;8
4105;5
4107;2
5001;8
5002;8
5003;5
5004;4
5005;4
5006;5
5007;8
5008;8
5009;8
5010;4
5012;5
5013;5
5014;5
5015;5
5016;4
5017;4
5018;8
5019;8
5020;8
5021;5
5022;5
5023;5
5024;4
5026;3
5027;3
5028;3
5029;6
5030;8
5031;5
5032;4
5033;8
5034;3
5035;4
5104;2
5105;3
5106;5
5107;8
5110;4
6001;3
6002;5
6003;8
6004;8
6005;4
6006;5
6007;4
6008;5
6009;8
6010;4
6012;8
6013;8
6014;2
6015;8
6016;8
6017;8
6018;5
6020;8
6021;2
6022;8
6024;5
6025;5
6026;8
6027;1
6028;8
6029;5
6030;5
6031;8
6032;5
6103;8
6104;4
6107;5
6108;1
7001;5
7002;1
7003;5
7004;5
7005;5
7006;3
7007;3
7008;3
7009;5
7010;5
7011;5
7012;5
7013;3
7014;2
7015;5
7016;5
7017;3
7018;3
7019;2
7020;3
7021;3
7022;5
7023;8
7024;3
7025;8
7026;5
7101;8
7102;5
7103;7
8001;8
8002;1
8003;4
8004;5
8005;8
8007;8
8008;1
8009;8
8010;4
8011;4
8012;4
8013;5
8015;5
8016;8
8017;2
8018;5
8019;5
8020;4
8025;5
8026;1
8027;2
8028;4
8029;5
8030;5
8031;5
8032;5
8033;5
8034;5
8035;5
8036;5
8037;4
8038;5
8039;5
8040;5
8041;5
8044;5
8045;5
8046;5
8047;5
8048;5
8049;4
8050;5
8051;4
8052;4
8053;4
8054;5
8055;4
8056;4
8057;4
8101;4
8102;5
8103;5
8104;4
8105;5
8110;4
8113;5
8115;5
8549;5
9001;7
9002;7
9003;4
9004;4
9005;4
9006;4
9007;7
9008;7
9009;7
9010;7
9011;3
9012;5
9013;5
9014;3
9015;7
9016;7
9017;7
9018;4
9019;4
9020;7
9021;7
9022;5
9023;5
9024;5
9025;5
9026;7
9027;4
9028;4
9029;5
9030;5
9031;5
9032;5
9033;8
9034;8
9035;4
9036;7
9037;4
9038;4
9039;8
9101;3
9102;5
9104;5
9106;5
9108;7
9111;3
9113;3
10001;3
10002;3
10003;5
10004;3
10005;3
10006;3
10007;3
10008;3
10009;3
10010;3
10011;3
10012;1
10013;2
10014;2
10015;2
10016;1
10017;7
10018;1
10019;2
10020;7
10021;1
10022;1
10023;1
10024;7
10025;2
10026;4
10027;4
10028;6
10029;6
10031;1
10032;2
10033;4
10034;7
10035;1
10036;4
10037;4
10038;4
10039;4
10040;4
10041;4
10042;3
10105;3
10107;4
10110;4
10111;2
10113;7
10114;2
10115;7
10151;6
10152;6
10153;6
10161;1
11001;8
11002;8
11003;2
11004;3
11006;2
11007;2
11008;2
11009;2
11010;1
11011;2
11012;2
11013;4
11014;1
11016;4
11017;7
11018;7
11019;7
11020;2
11021;4
11022;3
11023;2
11024;2
11025;2
11026;7
11027;7
11028;4
11029;7
11030;7
11031;2
11032;7
11033;3
11034;7
11035;7
11036;2
11037;1
11038;2
11039;2
11040;2
11041;2
11042;2
11043;2
11044;2
11045;2
11046;2
11101;2
11102;2
11103;2
11104;7
11105;2
11107;2
11109;7
11110;2
11111;2
11112;2
11113;2
12001;2
12002;1
12003;2
12004;2
12005;2
12007;1
12008;1
12009;2
12010;3
12011;2
12012;2
12013;2
12014;4
12015;4
12016;4
12017;1
12018;1
12019;1
12020;4
12021;4
12022;3
12023;1
12024;1
12026;2
12027;2
12028;4
12029;2
12030;2
12031;8
12032;1
12033;2
12034;5
12035;2
12036;4
12037;4
12038;7
12039;3
12040;4
12041;2
12042;1
12043;2
12101;3
12102;1
12105;1
12106;2
12107;2
12108;8
12109;2
12110;2
12111;2
12112;2
12113;3
12114;4
12115;1
12119;2
12120;4
12122;1
12123;8
12124;3
12125;8
12126;1
12127;5
12128;3
12130;4
12151;1
13001;7
13002;7
13004;3
13005;3
13006;3
13007;1
13008;6
13009;1
13010;6
13011;4
13013;3
13014;2
13015;3
13016;8
13017;6
13018;5
13019;5
13020;5
13021;7
13022;7
13023;7
13024;7
13025;3
13026;7
13027;1
13028;2
13029;4
13030;6
13031;1
13032;1
13033;4
13034;5
13035;6
13036;1
13037;1
13038;7
13039;7
13040;6
13041;6
13042;1
13043;7
13044;7
13045;7
13046;2
13047;1
13048;7
13050;5
13052;2
13053;8
13054;8
13055;5
13101;3
13102;5
13103;5
13104;1
13106;6
13107;3
13109;3
13110;7
13111;3
13113;7
13114;5
13116;4
13117;4
13118;3
13120;3
13122;6
13151;1
13514;2
14001;6
14002;6
14003;6
14004;6
14005;6
14006;6
14007;2
14008;4
14009;7
14010;6
14011;7
14012;7
14013;7
14014;1
14015;1
14016;7
14018;6
14019;4
14020;1
14021;4
14023;4
14024;6
14025;7
14026;7
14027;7
14028;1
14029;4
14030;4
14031;7
14032;7
14033;6
14034;4
14035;6
14036;6
14037;4
14101;6
14103;6
14104;7
14106;6
14107;7
14108;6
14110;7
14111;6
14112;6
14113;5
14114;4
14115;1
14116;4
14117;6
14120;4
14122;1
14124;4
14125;7
14127;6
15001;8
15002;1
15003;4
15004;4
15005;1
15008;1
15009;1
15010;3
15011;1
15012;7
15013;3
15014;4
15016;7
15017;7
15018;1
15019;1
15020;1
15023;2
15024;5
15025;2
15026;1
15027;7
15028;3
15029;2
15031;2
15032;3
15033;2
15034;1
15035;2
15036;2
15037;1
15038;2
15039;7
15040;7
15041;7
15042;5
15043;4
15044;4
15045;4
15046;7
15047;4
15048;4
15049;1
15051;7
15052;1
15053;1
15054;8
15055;2
15056;5
15058;5
15059;5
15060;3
15061;2
15064;5
15065;2
15067;3
15068;5
15069;3
15070;5
15071;3
15072;8
15102;2
15103;3
15104;5
15105;3
15106;2
15107;1
15109;7
15110;2
15111;7
15112;4
15113;4
15114;4
15115;4
15118;1
15120;3
15122;7
15123;8
15125;8
15126;1
16001;6
16002;4
16003;3
16004;4
16005;6
16006;6
16007;5
16008;6
16009;4
16010;4
16011;4
16012;5
16013;6
16014;6
16015;4
16016;4
16017;4
16018;4
16019;5
16020;4
16021;6
16022;4
16023;4
16024;2
16025;3
16026;7
16027;7
16028;3
16029;3
16030;3
16031;4
16032;2
16033;3
16034;4
16035;4
16036;1
16037;3
16038;2
16039;3
16040;3
16041;3
16042;3
16043;4
16044;8
16101;5
16102;4
16103;4
16104;4
16105;4
16107;4
16108;4
16110;5
16111;4
16112;4
16116;3
16118;3
16121;1
16122;3
16123;1
16124;3
16129;4
16130;4
16135;4
17001;7
17002;7
17003;7
17004;7
17005;7
17006;7
17007;7
17009;2
17010;1
17012;7
17013;7
17014;3
17015;4
17016;7
17017;7
17018;5
17019;2
17020;4
17021;4
17022;7
17024;4
17025;4
17026;4
17027;4
17028;2
17029;3
17030;1
17031;3
17032;3
17033;4
17036;3
17037;3
17038;4
17039;7
17040;4
17041;3
17042;5
17043;2
17044;4
17045;4
17046;4
17047;2
17048;4
17050;4
17101;3
17102;2
17104;2
17105;2
17107;3
17110;7
17111;7
17115;1
17116;4
17117;7
17119;7
18001;6
18002;6
18003;6
18004;4
18005;4
18006;4
18007;4
18008;4
18009;7
18010;7
18011;7
18012;7
18013;4
18014;7
18015;6
18016;6
18017;6
18018;7
18019;4
18020;4
18021;7
18022;6
18023;4
18024;1
18025;6
