"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"time"
0,0750984178021389;0,78288506995405;0,833686002459623;0,209571853444877;0,318321459215181;0,0893834919900168;0,733744485172808;0,474185148214566;0,303257532498697;2017-03-06 00:00:00
0,0761419643244264;0,760621671979979;0,833915139357854;0,218032394021136;0,326873536115237;0,0906602954026299;0,736709619061456;0,450722493200208;0,311935193769048;2017-03-06 00:20:00
0,0803011153426245;0,751095385952596;0,830040560488719;0,209942687861938;0,319417059030746;0,0887503010207378;0,756623377936188;0,482209680065424;0,32112148642086;2017-03-06 00:40:00
0,0796324473418189;0,74878017017443;0,835151825573179;0,206620503435352;0,34697855205213;0,0882842961943708;0,750817523302641;0,45794009060801;0,32014484967798;2017-03-06 01:00:00
0,0833149662096889;0,737480894649524;0,827190379020433;0,211177524194707;0,339961460155702;0,0871331563629308;0,754108924491203;0,474458143677265;0,332335689067364;2017-03-06 01:20:00
0,0792140161161722;0,726539437577442;0,830950928396491;0,206628629594653;0,331566977587181;0,0854081683515868;0,74416919261588;0,452061823011315;0,318435912181807;2017-03-06 01:40:00
0,0753728507655947;0,708491473277403;0,82449871220638;0,204221555082476;0,318806249437086;0,0735722020710843;0,734678105436869;0,483901727495549;0,316469400776839;2017-03-06 02:00:00
0,0821749324416666;0,693889273388976;0,820874215832951;0,193701259784852;0,316025117244133;0,0728362708098901;0,733724641326551;0,500222429789683;0,326351904409223;2017-03-06 02:20:00
0,0861641114191418;0,692042682979572;0,815378344526118;0,201622434993768;0,331514042637236;0,0771875782957187;0,744499679647345;0,483808731323267;0,335941900910765;2017-03-06 02:40:00
0,087713653217106;0,678573715298079;0,817648073862287;0,194289531838583;0,351438599488556;0,0863286443457147;0,760650409760955;0,461249861235377;0,335172163265616;2017-03-06 03:00:00
0,0853767605360292;0,711715472573603;0,829387357061757;0,198153933395331;0,3447640621446;0,0948569373734534;0,762520154877189;0,462436054085136;0,358690808307584;2017-03-06 03:20:00
0,0859299389587665;0,693409909239921;0,826308735970541;0,195951352168159;0,362049579805646;0,0902429518483045;0,775332383025133;0,463642046142995;0,351711116596707;2017-03-06 03:40:00
0,0882138138465418;0,695127997560677;0,830068611658524;0,19539522208205;0,356110234906491;0,0895679340383799;0,775416130256663;0,46990916012819;0,355093502661177;2017-03-06 04:00:00
0,096055183938804;0,685463756052398;0,822645261468703;0,192872116287277;0,352233103888677;0,0906160710533923;0,780956490584296;0,4800008145912;0,359263265709315;2017-03-06 04:20:00
0,0944329639325232;0,672811122213992;0,82448580279714;0,187668755523796;0,363749532828203;0,0895031011851591;0,77496590771505;0,456981159995457;0,365434152617706;2017-03-06 04:40:00
0,096233183538704;0,690423879671688;0,822959586824179;0,186183399215173;0,363467823888161;0,0922802997056393;0,790111517627902;0,471520601200739;0,364715049306055;2017-03-06 05:00:00
0,0954166971981269;0,675443684030172;0,827281644618373;0,188608151289144;0,376099087378449;0,0943066405216643;0,776673798036471;0,457854959049314;0,360432672971617;2017-03-06 05:20:00
0,0972206826692634;0,671838879199986;0,81503399174502;0,196252525338081;0,370799298625795;0,0928099734188796;0,781668071541546;0,46712019874431;0,370740129413328;2017-03-06 05:40:00
0,0966719019942726;0,676367723247364;0,823396155662676;0,192021070679929;0,370038308090679;0,095849252204342;0,789956525428808;0,463201546892342;0,358361963728975;2017-03-06 06:00:00
0,0974251301716885;0,671387961371441;0,824806720814847;0,184841325200381;0,381125468766561;0,0951930192518841;0,788412492026831;0,46683143209167;0,358096989576455;2017-03-06 06:20:00
0,0977468045017034;0,67607903229018;0,82553872005203;0,191774014332562;0,369020537448292;0,0983265390410701;0,783974005006837;0,464490923094412;0,365869095797892;2017-03-06 06:40:00
0,0976688410766506;0,686811773882216;0,822618395248716;0,188288680828968;0,372046028118376;0,0937892553986323;0,779365048256236;0,45547975910389;0,359157085052905;2017-03-06 07:00:00
0,0940250076680092;0,683593030165236;0,822390283845253;0,194205064588937;0,36809105150065;0,0973448913742904;0,786256424912615;0,470414163239126;0,358973108534241;2017-03-06 07:20:00
0,0906826753101579;0,683908242974674;0,820885606980448;0,193782519109727;0,375756883322827;0,0953699609938113;0,778261690927921;0,472268334179576;0,348744923560387;2017-03-06 07:40:00
0,0862665511508691;0,677319698993811;0,81617116091775;0,196299411060748;0,377169480300967;0,0960454011398888;0,766267685571827;0,461782835237565;0,350500352360518;2017-03-06 08:00:00
0,0851898361609764;0,68757607555312;0,813175186530964;0,199257528771347;0,380384838600383;0,0937349566426525;0,772674513422677;0,454605226667614;0,3340109843666;2017-03-06 08:20:00
0,082923370349822;0,710512297311627;0,823593178759587;0,198765434083075;0,386172121053241;0,0900286395056552;0,769166864729585;0,476458486629056;0,321893975177301;2017-03-06 08:40:00
0,0753273968572354;0,706631790502666;0,814803975908473;0,200804192742995;0,370232170514988;0,0918469974774892;0,755592545830801;0,469057237257576;0,313385059981753;2017-03-06 09:00:00
0,0736346830752535;0,714196955223477;0,810715398557262;0,210050241565435;0,375818220346904;0,0884910906695024;0,732478709683571;0,471121187855977;0,277950608314666;2017-03-06 09:20:00
0,0673830702178647;0,728851410748857;0,812224039790618;0,213482835513942;0,356630528112457;0,0920187791183669;0,7235535873449;0,448809784918095;0,254788404996675;2017-03-06 09:40:00
0,0610386405337575;0,735877868785929;0,800470484368157;0,213281598002052;0,374398090340245;0,0868565585597769;0,724431011474158;0,471495194589711;0,240662915932203;2017-03-06 10:00:00
