"","number","name","address","lat","lon","lon2"
"43",2014,"02014 - SAINT AUGUSTIN","1  3 RUE DAUNOU - 75002 PARIS",48.8691131525953,2.3325151052685,1.53458009573697
"44",2015,"02015 - OPERA - CAPUCINES","25 RUE LOUIS LE GRAND - 75002 PARIS",48.8705089372039,2.33405446193933,1.53559285063916
"45",2016,"02016 - ABOUKIR","108 RUE D'ABOUKIR - 75002 PARIS",48.8686604815393,2.35018588824494,1.54620584331326
"46",2017,"02017 - CAIRE","40, rue du Caire - 75002 PARIS",48.86789,2.34925,1.54559011505097
"47",2020,"02020 - OPERA CASANOVA","02 RUE DANIEL CASANOVA - 75002 PARIS",48.8676230780568,2.33326859310154,1.53507582132877
"48",2021,"02021 - CLERY","4 RUE DE CLERY - 75002 PARIS",48.8674674414641,2.34452661511422,1.54248256285812
"49",2022,"02022 - BONNE NOUVELLE SAINT FIACRE","20 RUE SAINT FIACRE - 75002 PARIS",48.8707827795368,2.34590581139442,1.54338994697535
"50",2101,"02101 - BACHAUMONT","14 RUE BACHAUMONT - 75002 PARIS",48.8660671500868,2.34546365270257,1.54309904728251
"51",2102,"02102 - SAINT MARC","8 RUE SAINT MARC - 75002 PARIS",48.870314763995,2.34187856663061,1.54074039086262
"52",2107,"02107 - THOREL","11 RUE THOREL - 75002 PARIS",48.8700006171965,2.34899551804935,1.54542268936729
"53",2108,"02108 - VIVIENNE","42 RUE VIVIENNE - 75002 PARIS",48.8712422741664,2.34139499925739,1.54042224807151
"54",3001,"03001 - CHEMIN VERT BEAUMARCHAIS","69 BOULEVARD BEAUMARCHAIS - 75003 PARIS",48.8580440569424,2.36783265929612,1.55781579325442
"55",3002,"03002 - SAINT GILLES","26 RUE SAINT GILLES - 75003 PARIS",48.8581589567786,2.36471499209919,1.55576465540123
"56",3003,"03003 - TURENNE BRETAGNE","4 RUE DES FILLES DU CALVAIRE - 75003 PARIS",48.8621322349716,2.36495138689375,1.55592018140218
"57",3004,"03004 - REPUBLIQUE 23","19 PLACE DE LA REPUBLIQUE - 75003 PARIS",48.86707,2.36351,1.5549718815895
"58",3005,"03005 - TURBIGO SAINTE ELISABETH","7 RUE SAINTE ELISABETH - 75003 PARIS",48.8661372245834,2.35966114362647,1.55243968860655
"59",3006,"03006 - MAIRIE DU 3EME","10 RUE PERREE - 75003 PARIS",48.8645308053075,2.36157981521499,1.55370199778661
"60",3007,"03007 - ARCHIVES PASTOURELLE","67 RUE DES ARCHIVES - 75003 PARIS",48.8624012119144,2.35944703194638,1.55229882284247
"61",3008,"03008 - PERLE","22 RUE DE LA PERLE - 75003 PARIS",48.859846683207,2.36105048709202,1.5533537486371
"62",3009,"03009 - TEMPLE 113","76 RUE DU TEMPLE - 75003 PARIS",48.8615811577309,2.35660934144383,1.55043188386607
"63",3010,"03010 - BEAUBOURG","46 RUE BEAUBOURG - 75003 PARIS",48.8624649804039,2.35423678141965,1.54887095790215
"64",3011,"03011 - TURBIGO","55 RUE TURBIGO - 75003 PARIS",48.8655841910852,2.35627844763363,1.55021418621696
"65",3012,"03012 - GAITE LYRIQUE","FACE 8 RUE SALOMON DE CAUS - 75003 PARIS",48.8674979894066,2.35366081624923,1.54849202587107
"66",3013,"03013 - RUE DE SEVIGNE","36 RUE DE SEVIGNE - 75003 PARIS",48.8569541480553,2.36289742022954,1.55456886052409
"67",3014,"03014 - GRENIER SAINT LAZARE","FACE 34 RUE GRENIER SAINT LAZARE - 75003 PARIS",48.8630628327432,2.35283938071815,1.54795159695249
"68",3101,"03101 - PORTE SAINT MARTIN","62 RUE MESLAY - 75003 PARIS",48.8686364050255,2.35559159277857,1.54976229898722
"69",4001,"04001 - NOTRE DAME","10 RUE D'ARCOLE - 75004 PARIS",48.853984144413,2.34938004529103,1.54567567287424
"70",4002,"04002 - MARCHE AUX FLEURS","PLACE LOUIS LEPINE - 75004 PARIS",48.8552533608443,2.34735644764263,1.54434433201133
"71",4003,"04003 - PONT SAINT LOUIS","1 QUAI AUX FLEURS - 75004 PARIS",48.8529448879212,2.35208864944075,1.54745768492038
"72",4005,"04005 - SULLY MORLAND","2 QUAI DES CELESTINS - 75004 PARIS",48.8512714820934,2.36243021298228,1.55426148118896
"73",4006,"04006 - BASSIN DE L'ARSENAL","FACE 1 BOULEVARD BOURBON - 75004 PARIS",48.8477251256688,2.36593915312716,1.55657004060249
"74",4007,"04007 - BOURDON","BOULEVARD BOURDON - 75004 PARIS",48.8525571174352,2.3682407194182,1.5580842592291
"75",4009,"04009 - VILLAGE SAINT PAUL","6 RUE SAINT PAUL - 75004 PARIS",48.8527259721895,2.36087834343166,1.55324049396441
"76",4010,"04010 - SAINT PAUL PAVÉE","105-109 TERRE PLEIN SAINT PAUL - 75004 PARIS",48.8550239990409,2.36120353875546,1.55345444253434
