"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"time"
0,237056077395352;0,101159247576206;0,743266725449848;0,184082127418511;0,536241726310969;0,0753762472491706;0,654131230468487;0,793625342187786;2017-03-06 11:40:00
0,251526857353302;0,101354787255814;0,749197108544884;0,18377269222114;0,537623923796441;0,0762977830975629;0,64836463287846;0,788143873765677;2017-03-06 12:00:00
0,244039943929457;0,0994293711654309;0,75209801534287;0,173887143083971;0,524179501212207;0,0761929049509113;0,645638267939781;0,781076770069842;2017-03-06 12:20:00
0,246458473474806;0,107002846469084;0,761797021383461;0,151570896209242;0,526293943952387;0,0785929748142755;0,626166720056599;0,780825672427669;2017-03-06 12:40:00
0,23711048509476;0,109460621770433;0,788753575073492;0,160166599419778;0,518970574846323;0,0772306043936043;0,60113956838454;0,784187146649446;2017-03-06 13:00:00
0,26408407192362;0,115591247904546;0,769907112551868;0,155559338798442;0,522198458496406;0,0810043199833687;0,624099433363032;0,792144033419045;2017-03-06 13:20:00
0,254705266752243;0,116235003974888;0,787781512649058;0,144787191613351;0,538396088984618;0,07843844936492;0,595383767732135;0,783618099960405;2017-03-06 13:40:00
0,269486544729033;0,107626232450621;0,796985053625396;0,140196589920484;0,531373200477184;0,079864254966834;0,605901936448035;0,793262227307426;2017-03-06 14:00:00
0,274972571895145;0,104513026404085;0,815503662111343;0,149251415651289;0,521118332531652;0,0769565800023847;0,576100719236913;0,783150922157064;2017-03-06 14:20:00
0,278834883222562;0,09949773612476;0,809168459889124;0,127487687653339;0,516823760700645;0,0794231932217686;0,574207387735572;0,756201465447192;2017-03-06 14:40:00
0,270251582475535;0,105198152150361;0,81401986319609;0,125773628124002;0,53070842188891;0,077549923571732;0,557211257150934;0,776218560200712;2017-03-06 15:00:00
0,275127769651704;0,09805913178503;0,821742533163714;0,117155622423288;0,51514462970092;0,0770141144904848;0,547269789928338;0,769188758330972;2017-03-06 15:20:00
0,274129640013259;0,0870683428763398;0,832086284324303;0,11786302938319;0,51651366117463;0,0749319985147974;0,541286379267364;0,76749408998993;2017-03-06 15:40:00
0,278649541663295;0,10025837435182;0,838085766487831;0,111719937837295;0,493716827753337;0,0771067737901205;0,528427639274951;0,75984211657189;2017-03-06 16:00:00
0,280561373111685;0,0917581542924078;0,820953615042569;0,110406073587877;0,521650758354165;0,0826769788306763;0,521996495217568;0,760164095972225;2017-03-06 16:20:00
0,281831669069634;0,0928865587602893;0,834879217585666;0,120062553430654;0,513511252056468;0,0878528209884928;0,5230901556496;0,761512883870546;2017-03-06 16:40:00
