"number";"cluster"
903;6
905;8
906;6
908;8
1001;3
1002;6
1003;6
1004;6
1005;6
1006;6
1007;6
1009;6
1010;6
1012;6
1013;6
1014;6
1015;6
1016;6
1017;6
1018;6
1019;3
1020;6
1022;3
1023;6
1024;6
1025;6
1026;6
1102;6
1116;6
2001;6
2002;6
2003;6
2004;7
2005;6
2006;3
2007;6
2008;3
2009;8
2010;8
2011;3
2012;8
2013;3
2014;8
2015;3
2016;7
2017;3
2020;6
2021;3
2022;3
2101;6
2102;8
2107;9
2108;8
3001;5
3002;7
3003;6
3004;6
3005;6
3006;6
3007;5
3008;5
3009;7
3010;6
3011;6
3012;7
3013;4
3014;6
3101;7
4001;3
4002;6
4003;3
4005;7
4006;3
4007;5
4009;6
4010;4
4011;3
4012;6
4013;6
4014;6
4015;6
4016;6
4017;6
4018;6
4019;6
4020;6
4021;6
4101;6
4103;6
4104;6
4105;3
4107;5
5001;6
5002;3
5003;8
5004;2
5005;2
5006;8
5007;3
5008;6
5009;6
5010;2
5012;8
5013;8
5014;8
5015;8
5016;2
5017;2
5018;6
5019;6
5020;3
5021;3
5022;3
5023;3
5024;6
5026;7
5027;7
5028;3
5029;1
5030;3
5031;3
5032;2
5033;6
5034;7
5035;5
5104;7
5105;7
5106;8
5107;6
5110;2
6001;7
6002;3
6003;3
6004;6
6005;2
6006;8
6007;2
6008;8
6009;6
6010;2
6012;6
6013;6
6014;6
6015;6
6016;6
6017;3
6018;8
6020;6
6021;3
6022;6
6024;3
6025;8
6026;6
6027;4
6028;6
6029;3
6030;8
6031;6
6032;6
6103;6
6104;2
6107;8
6108;4
7001;8
7002;4
7003;8
7004;8
7005;8
7006;7
7007;7
7008;7
7009;8
7010;8
7011;8
7012;8
7013;7
7014;5
7015;8
7016;8
7017;7
7018;7
7019;5
7020;7
7021;7
7022;8
7023;6
7024;7
7025;7
7026;8
7101;6
7102;8
7103;9
8001;6
8002;4
8003;2
8004;3
8005;3
8007;6
8008;4
8009;6
8010;2
8011;2
8012;2
8013;8
8015;8
8016;6
8017;5
8018;8
8019;8
8020;2
8025;8
8026;4
8027;3
8028;2
8029;8
8030;8
8031;3
8032;8
8033;8
8034;8
8035;8
8036;8
8037;2
8038;8
8039;8
8040;8
8041;8
8044;8
8045;8
8046;8
8047;8
8048;8
8049;2
8050;8
8051;2
8052;2
8053;2
8054;3
8055;2
8056;2
8057;2
8101;2
8102;8
8103;8
8104;2
8105;8
8110;2
8113;8
8115;8
8549;8
9001;9
9002;9
9003;2
9004;2
9005;2
9006;2
9007;9
9008;9
9009;9
9010;9
9011;7
9012;3
9013;8
9014;6
9015;9
9016;9
9017;9
9018;2
9019;2
9020;9
9021;9
9022;8
9023;3
9024;8
9025;8
9026;9
9027;2
9028;2
9029;8
9030;8
9031;8
9032;8
9033;6
9034;6
9035;2
9036;9
9037;2
9038;2
9039;3
9101;7
9102;8
9104;8
9106;8
9108;9
9111;8
9113;7
10001;7
10002;7
10003;8
10004;7
10005;7
10006;7
10007;7
10008;7
10009;7
10010;7
10011;7
10012;4
10013;5
10014;7
10015;5
10016;4
10017;5
10018;5
10019;5
10020;9
10021;4
10022;4
10023;4
10024;9
10025;5
10026;2
10027;2
10028;1
10029;1
10031;9
10032;5
10033;2
10034;2
10035;4
10036;2
10037;2
10038;2
10039;2
10040;2
10041;2
10042;3
10105;7
10107;2
10110;2
10111;7
10113;5
10114;5
10115;9
10151;1
10152;1
10153;1
10161;4
11001;6
11002;6
11003;6
11004;7
11006;9
11007;5
11008;5
11009;5
11010;4
11011;5
11012;5
11013;2
11014;4
11016;2
11017;9
11018;5
11019;9
11020;5
11021;2
11022;7
11023;5
11024;5
11025;5
11026;9
11027;5
11028;5
11029;9
11030;9
11031;5
11032;9
11033;7
11034;9
11035;5
11036;5
11037;4
11038;5
11039;5
11040;5
11041;5
11042;5
11043;5
11044;5
11045;5
11046;6
11101;5
11102;5
11103;5
11104;9
11105;5
11107;5
11109;9
11110;5
11111;5
11112;5
11113;5
12001;3
12002;4
12003;3
12004;5
12005;5
12007;4
12008;4
12009;5
12010;7
12011;5
12012;5
12013;5
12014;2
12015;2
12016;5
12017;4
12018;4
12019;4
12020;2
12021;2
12022;7
12023;4
12024;4
12026;6
12027;5
12028;5
12029;5
12030;5
12031;6
12032;7
12033;5
12034;3
12035;5
12036;2
12037;2
12038;9
12039;7
12040;2
12041;5
12042;4
12043;5
12101;7
12102;4
12105;3
12106;3
12107;5
12108;6
12109;5
12110;3
12111;5
12112;5
12113;7
12114;2
12115;4
12119;5
12120;2
12122;4
12123;6
12124;7
12125;6
12126;4
12127;8
12128;7
12130;2
12151;4
13001;9
13002;9
13004;7
13005;7
13006;7
13007;4
13008;1
13009;4
13010;1
13011;8
13013;7
13014;5
13015;7
13016;3
13017;8
13018;8
13019;3
13020;3
13021;9
13022;9
13023;9
13024;9
13025;7
13026;9
13027;4
13028;5
13029;2
13030;1
13031;4
13032;8
13033;2
13034;8
13035;1
13036;8
13037;4
13038;9
13039;9
13040;1
13041;1
13042;4
13043;9
13044;9
13045;9
13046;5
13047;4
13048;9
13050;3
13052;3
13053;6
13054;3
13055;3
13101;7
13102;8
13103;8
13104;4
13106;1
13107;7
13109;5
13110;9
13111;7
13113;8
13114;8
13116;2
13117;8
13118;7
13120;7
13122;1
13151;4
13514;5
14001;1
14002;1
14003;1
14004;1
14005;1
14006;1
14007;5
14008;2
14009;9
14010;1
14011;9
14012;9
14013;9
14014;4
14015;4
14016;9
14018;1
14019;2
14020;4
14021;2
14023;2
14024;1
14025;9
14026;9
14027;9
14028;4
14029;2
14030;2
14031;9
14032;9
14033;1
14034;2
14035;1
14036;1
14037;2
14101;1
14103;1
14104;9
14106;1
14107;9
14108;1
14110;9
14111;1
14112;1
14113;8
14114;2
14115;4
14116;2
14117;1
14120;2
14122;4
14124;2
14125;9
14127;1
15001;6
15002;4
15003;2
15004;2
15005;4
15008;4
15009;4
15010;7
15011;4
15012;5
15013;5
15014;2
15016;9
15017;9
15018;4
15019;4
15020;7
15023;2
15024;5
15025;5
15026;4
15027;9
15028;7
15029;7
15031;5
15032;5
15033;5
15034;4
15035;5
15036;5
15037;7
15038;5
15039;9
15040;9
15041;9
15042;3
15043;2
15044;2
15045;2
15046;9
15047;2
15048;2
15049;4
15051;9
15052;5
15053;4
15054;6
15055;5
15056;3
15058;8
15059;8
15060;7
15061;5
15064;3
15065;3
15067;7
15068;8
15069;7
15070;8
15071;7
15072;6
15102;3
15103;7
15104;8
15105;7
15106;5
15107;4
15109;9
15110;3
15111;9
15112;2
15113;2
15114;2
15115;2
15118;4
15120;7
15122;9
15123;6
15125;6
15126;4
16001;1
16002;2
16003;7
16004;2
16005;1
16006;1
16007;8
16008;1
16009;2
16010;2
16011;2
16012;8
16013;1
16014;1
16015;2
16016;2
16017;2
16018;2
16019;8
16020;2
16021;1
16022;2
16023;2
16024;5
16025;7
16026;2
16027;9
16028;7
16029;7
16030;7
16031;2
16032;5
16033;7
16034;2
16035;2
16036;4
16037;7
16038;5
16039;7
16040;7
16041;7
16042;7
16043;2
16044;6
16101;8
16102;2
16103;2
16104;2
16105;2
16107;2
16108;2
16110;8
16111;2
16112;2
16116;7
16118;7
16121;4
16122;7
16123;4
16124;7
16129;2
16130;2
16135;2
17001;9
17002;9
17003;9
17004;9
17005;9
17006;9
17007;9
17009;5
17010;4
17012;9
17013;9
17014;7
17015;2
17016;9
17017;9
17018;8
17019;3
17020;2
17021;2
17022;5
17024;2
17025;2
17026;2
17027;2
17028;7
17029;7
17030;4
17031;7
17032;7
17033;2
17036;9
17037;7
17038;2
17039;8
17040;2
17041;7
17042;8
17043;2
17044;2
17045;2
17046;2
17047;5
17048;2
17050;2
17101;7
17102;5
17104;5
17105;2
17107;7
17110;9
17111;9
17115;4
17116;2
17117;9
17119;9
18001;1
18002;9
18003;1
18004;2
18005;2
18006;2
18007;2
18008;2
18009;5
18010;9
18011;5
18012;9
18013;2
18014;9
18015;9
18016;1
18017;1
18018;9
18019;2
18020;2
18021;9
18022;1
18023;2
18024;4
18025;1
18026;9
18027;9
18028;9
18029;9
18030;4
18031;4
18032;4
18033;9
18034;9
18035;4
18037;4
18038;5
18039;4
18040;4
18041;2
18042;2
18043;2
18044;1
18045;1
18046;2
18047;9
18048;5
18049;2
18101;4
18102;5
18103;4
18105;4
18107;2
18108;2
18109;5
18110;5
18111;9
18112;8
18113;1
18114;2
18122;4
19001;4
19002;5
19003;2
19004;6
19005;4
19006;5
19007;5
19008;4
19009;8
19010;5
19011;4
19012;2
19013;9
19014;9
19015;9
19016;4
19017;4
19018;2
19019;9
19020;2
19021;9
19023;2
19024;1
19025;1
19026;2
19027;2
19028;1
19029;9
19030;5
19031;9
19033;4
19034;2
19035;5
19036;2
19037;1
19038;1
19039;1
19040;1
19041;1
19043;2
19044;8
19045;8
19046;2
19101;1
19102;2
19103;9
19105;2
19106;8
19109;4
19110;8
19113;1
19114;2
19115;7
19116;2
19117;5
19118;2
19119;2
19120;1
19121;1
19123;9
19124;2
19125;9
20001;2
20002;1
20004;2
20005;2
20006;2
20007;9
20008;2
20009;2
20011;9
20012;9
20013;2
20015;9
20016;9
20017;9
20018;2
20020;1
20021;2
20022;1
20023;2
20024;1
20025;1
20026;1
20027;1
20028;1
20030;2
20031;2
20032;2
20033;9
20034;1
20035;1
20036;1
20037;1
20038;2
20039;9
20040;9
20041;2
20042;1
20043;2
20044;8
20045;2
20047;8
20048;2
20103;1
20104;8
20105;8
20106;1
20107;8
20108;2
20109;1
20110;1
20111;1
20112;1
20113;2
20115;1
20116;9
20117;1
20118;9
20119;1
20120;2
20121;1
20122;2
20131;2
20132;9
20133;2
20503;4
21001;8
21002;5
21003;7
21004;7
21005;8
21006;4
21007;7
21008;7
21009;7
21010;7
21011;7
21012;4
21013;5
21014;7
21015;7
21016;7
21017;7
21018;7
21019;8
21020;8
21021;8
21101;7
21102;5
21103;3
21104;3
21105;7
21106;7
21107;7
21108;5
21109;5
21110;7
21111;7
21112;8
21113;7
21201;2
21202;4
21203;2
21204;2
21205;2
21206;2
21207;2
21208;2
21209;2
21210;9
21211;2
21301;7
21302;7
21303;7
21304;7
21305;7
21306;8
21307;7
21309;7
21310;7
21311;7
21501;7
21502;2
21503;8
21701;9
21702;2
21703;2
21704;5
21706;2
21707;2
22001;7
22002;2
22003;8
22004;8
22005;8
22006;8
22007;5
22008;2
22009;8
22010;8
22011;8
22012;4
22013;4
22014;7
22101;7
22401;2
22402;2
22403;9
22404;2
22405;2
22406;2
22407;2
23001;3
23002;8
23003;7
23004;7
23005;4
23006;7
23007;4
23008;7
23009;4
23010;4
23011;7
28001;7
28002;2
28003;7
31001;8
31002;8
31003;8
31004;2
31005;2
31006;2
31007;2
31008;2
31009;2
31010;2
31011;2
31012;9
31013;2
31701;2
31702;8
31703;1
31704;1
31705;2
31706;2
31707;2
31708;2
31709;2
32001;4
32003;5
32004;4
32006;3
32601;2
32602;2
32603;2
32604;2
32605;2
32606;2
33001;8
33003;7
33005;7
33006;2
33009;2
33010;7
33011;2
33012;5
33013;7
33102;2
33103;2
33104;2
34002;3
34004;4
34005;4
34006;3
34007;5
34008;5
34009;8
34010;7
34011;3
35001;7
35002;7
35003;4
35004;2
35005;4
35006;8
35007;4
35008;2
35009;4
35010;4
35011;2
35012;2
35013;2
35014;4
41101;4
41102;2
41103;2
41201;2
41202;5
41203;5
41301;2
41302;2
41601;4
41602;4
41603;4
41604;8
41605;5
42002;7
42006;7
42007;9
42008;7
42009;9
42010;5
42012;2
42013;9
42014;7
42015;2
42016;2
42201;7
42202;7
42203;7
42205;7
42206;5
42207;8
42208;9
42501;7
42502;7
42504;2
42505;4
42701;2
42702;2
42703;2
42704;2
42705;2
42706;2
42707;2
43001;2
43002;8
43003;8
43004;5
43005;6
43006;7
43007;5
43008;9
43009;5
43010;9
43401;7
44101;7
44102;5
