"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"time"
0,607477654457005;0,786064420827589;0,0364279983532518;0,205686827766705;0,205712631878578;0,509478817453829;0,0890143142252295;0,811840925000941;0,733481355469368;0,27203018223928;2017-03-06 09:40:00
0,604770777358512;0,796087798734741;0,0302288130817934;0,199218904679728;0,20933582892394;0,547279377811216;0,0837935971065178;0,801021573333705;0,729764727470806;0,25801746565584;2017-03-06 10:00:00
0,604955160896005;0,794371200663083;0,037697725243054;0,195336028526943;0,205302646681086;0,533782303256826;0,082464448884929;0,797580864695929;0,727492982741846;0,254800179050177;2017-03-06 10:20:00
0,605167383946943;0,825910243608151;0,0306177438221783;0,18638077107469;0,197600799105366;0,52459504221595;0,0886216950344019;0,793351472665536;0,707521781410411;0,20832810787298;2017-03-06 10:40:00
0,617318807558358;0,828410209838833;0,0359253001027448;0,177303540918006;0,215547863343708;0,517725322245676;0,0788884807007751;0,790651338708578;0,701362632399387;0,219993765325684;2017-03-06 11:00:00
0,613249673286514;0,835490999590411;0,0329147208527577;0,179449796085516;0,207535097126651;0,535081637445049;0,079854825687336;0,781500388832833;0,676862148253403;0,202354584355501;2017-03-06 11:20:00
0,627163495893042;0,830086342035054;0,0359078261173097;0,167225454677919;0,196817401643036;0,530485717440166;0,0733034885646515;0,783305758252447;0,661610357973254;0,183533665068254;2017-03-06 11:40:00
0,627558828473205;0,837757160253524;0,0327965352724152;0,171383914493653;0,215530976502481;0,530275763936844;0,0747602198678644;0,775358465313892;0,657622510827605;0,178883872323508;2017-03-06 12:00:00
0,621314083647002;0,835513770816447;0,0322903489348934;0,163442091265539;0,212516086031267;0,513509489910382;0,0745612841698748;0,774173582124067;0,656212528667615;0,171121008184335;2017-03-06 12:20:00
0,617985923547415;0,856714900776204;0,0401296944852713;0,169035133209749;0,206264421861295;0,523548499174511;0,0761008028830098;0,771222600083592;0,632797096186607;0,15191820251068;2017-03-06 12:40:00
0,653545717250835;0,860614545096589;0,0517716697388671;0,167053509664811;0,199867332748304;0,509864147315724;0,0756987029472677;0,773539683589344;0,613011772916223;0,158394170279835;2017-03-06 13:00:00
0,633495543794656;0,862153193010247;0,0587049008583528;0,169626452508587;0,221466500150452;0,528461209914892;0,078643940174359;0,782432738491815;0,633057283281086;0,148843658877623;2017-03-06 13:20:00
0,649441977364207;0,857925251151746;0,0618503637929052;0,164773935549242;0,219283809464421;0,534938540409326;0,0764389340328691;0,777064927306614;0,603876145082391;0,148703277382327;2017-03-06 13:40:00
0,669467248139113;0,865364827405163;0,0610365764159378;0,156093375075716;0,234282805590153;0,529054053051344;0,077780709362992;0,786245616196973;0,613191580436835;0,136901992747985;2017-03-06 14:00:00
0,695384237402939;0,873591039806675;0,055515419189746;0,153166256825276;0,234659452027387;0,517879815677117;0,0764546056136058;0,773064767034876;0,586862033947229;0,148147112023864;2017-03-06 14:20:00
0,682235496996447;0,86318459463666;0,0556312709504767;0,145352421253236;0,243003308402555;0,507106379666699;0,0778699199967325;0,746960744658984;0,589170502293834;0,128708710516274;2017-03-06 14:40:00
0,697745258072176;0,877680000940191;0,0492231830465425;0,150300041703187;0,226769064986023;0,52744180306301;0,0783139625175261;0,764190031657301;0,563491176292459;0,128927733364486;2017-03-06 15:00:00
0,716969758243197;0,869169260776002;0,0522232569771839;0,140107811097493;0,232837640013996;0,514685163460435;0,0762122744445256;0,75845495292232;0,556974085333632;0,112770669229878;2017-03-06 15:20:00
0,713269702768599;0,890093913943143;0,0425051678284175;0,136484868310908;0,232855256243434;0,511015554919178;0,0739702543096521;0,751844111539797;0,548653945838411;0,116326597282912;2017-03-06 15:40:00
0,72282944020955;0,892842478683549;0,0557890147135059;0,142237702399221;0,234146817931591;0,496448269598065;0,0751407277537308;0,742213510113812;0,532965150015169;0,116313516253385;2017-03-06 16:00:00
0,729553553682246;0,872733720391665;0,0486999645826925;0,133445802570172;0,23499973339906;0,516755204609644;0,0811894988091977;0,742470189624643;0,531165564763217;0,111975374997505;2017-03-06 16:20:00
0,725946909233792;0,891800316122751;0,0491964300782491;0,139917819790286;0,237680599455807;0,511446019919049;0,0860038966526048;0,743599599832844;0,527613315088748;0,121197483762275;2017-03-06 16:40:00
0,774290782965205;0,878791513717768;0,0584853836598259;0,130194823950548;0,2407396464976;0,513259565924346;0,0760480307920394;0,739716352244734;0,547860368831238;0,119690948375105;2017-03-06 17:00:00
0,778215526674188;0,896719777780056;0,0594004044518281;0,13305669084083;0,235956640240181;0,511648297067546;0,0833651971608187;0,750598336033628;0,546156446998288;0,133700907934221;2017-03-06 17:20:00
0,773053712007903;0,885368663347563;0,0596907122879813;0,137921519587516;0,2586553593096;0,514341297780664;0,0840859966388712;0,758335069127635;0,550274735314653;0,13418717444521;2017-03-06 17:40:00
0,778318887293348;0,875206938013887;0,0579486403375607;0,139055594207529;0,250274590288485;0,525189018014562;0,0884072606991374;0,753387681558156;0,57649297888154;0,141307020593413;2017-03-06 18:00:00
0,75810839714459;0,859159480891475;0,0597447173645562;0,136542939534408;0,249239697537515;0,493008591069518;0,0867920611329537;0,761360276388429;0,543977145255299;0,150193672619527;2017-03-06 18:20:00
0,777838149509651;0,857385710996966;0,060475823813663;0,147102258456247;0,244966263969657;0,5065650585984;0,0880653905196518;0,761167108929921;0,581096013987763;0,16616836058999;2017-03-06 18:40:00
0,76880352246532;0,854167383972406;0,0620396098481955;0,152038350194365;0,240356559072615;0,524431839184529;0,0909485666374807;0,777717707393932;0,594933557536561;0,184047076258406;2017-03-06 19:00:00
0,777771464642383;0,856636842758478;0,0522968375343767;0,151323401318389;0,239341333854358;0,518391620817906;0,0869699298085762;0,777724567485298;0,619625255058246;0,183059321411842;2017-03-06 19:20:00
0,776424299290412;0,853293150098328;0,060478434313178;0,15430056004804;0,271281815386446;0,526722710273768;0,0876787746952058;0,767977086851077;0,597733030096123;0,211691646927592;2017-03-06 19:40:00
0,767159412848544;0,859657685216018;0,0442937178413382;0,157850659161585;0,240788958392828;0,520411738023913;0,0930595424142944;0,785046464263673;0,642154079805529;0,196817158934358;2017-03-06 20:00:00
0,756510442813549;0,86589448835591;0,0463357381171555;0,164375143040842;0,249416404856222;0,510128043083126;0,0923188013387664;0,796411000883198;0,65260445165801;0,227948588116493;2017-03-06 20:20:00
0,758441064177445;0,853305646127689;0,0471248723416946;0,165522617557951;0,262703957366678;0,528646633846509;0,0944544451302014;0,797725504720577;0,676313793350374;0,229132444957938;2017-03-06 20:40:00
0,764022186423227;0,853026998755085;0,0474175167837431;0,1672141528546;0,252571771292983;0,539039397595131;0,0948724827826049;0,803332860499387;0,676730419508452;0,245088110039958;2017-03-06 21:00:00
0,767617306185092;0,841861440633765;0,0444942728640036;0,176292997455309;0,252137596610077;0,528504878410517;0,0931580903983496;0,809101199700575;0,681068608822688;0,251487667735857;2017-03-06 21:20:00
0,764359888374325;0,844624446460101;0,0446367846548678;0,169198399782391;0,242415188190438;0,53890969719384;0,090953840190035;0,798389226825682;0,711916683619493;0,259694481125846;2017-03-06 21:40:00
0,75008693595028;0,831135372784799;0,0472168037814907;0,173908697730348;0,256157478547526;0,535054520804376;0,0947179973697227;0,808468841463757;0,695179700433684;0,275050329063696;2017-03-06 22:00:00
0,762359227558908;0,824395660331162;0,0393977659965069;0,177729217372136;0,255278914452721;0,527728435034175;0,0895788765316071;0,814101481720502;0,701543051502154;0,271828250176172;2017-03-06 22:20:00
0,757472094170215;0,815683217690057;0,0439787749214748;0,180695233198838;0,257574996777665;0,536449191439175;0,0913490577738092;0,818890590636373;0,692829416351181;0,275846586198374;2017-03-06 22:40:00
0,739855956213931;0,79183448013529;0,0429708225578492;0,177980560963276;0,253255067501608;0,535036901748558;0,091431931436906;0,81929518897461;0,716485046907631;0,297561899508189;2017-03-06 23:00:00
