"number";"cluster"
903;2
905;2
906;1
908;5
1001;6
1002;2
1003;2
1004;2
1005;2
1006;2
1007;2
1009;2
1010;2
1012;2
1013;2
1014;2
1015;2
1016;2
1017;2
1018;2
1019;5
1020;2
1022;2
1023;2
1024;2
1025;2
1026;2
1102;2
1116;2
2001;2
2002;2
2003;2
2004;2
2005;2
2006;5
2007;2
2008;5
2009;5
2010;5
2011;5
2012;5
2013;5
2014;5
2015;2
2016;3
2017;2
2020;2
2021;5
2022;5
2101;2
2102;5
2107;2
2108;5
3001;6
3002;6
3003;2
3004;2
3005;6
3006;2
3007;6
3008;2
3009;6
3010;2
3011;2
3012;6
3013;6
3014;2
3101;6
4001;6
4002;2
4003;2
4005;6
4006;6
4007;2
4009;2
4010;6
4011;2
4012;6
4013;2
4014;2
4015;2
4016;2
4017;2
4018;2
4019;2
4020;2
4021;2
4101;2
4103;2
4104;2
4105;5
4107;6
5001;2
5002;2
5003;5
5004;1
5005;1
5006;5
5007;2
5008;2
5009;2
5010;1
5012;5
5013;5
5014;5
5015;5
5016;1
5017;1
5018;2
5019;2
5020;2
5021;5
5022;5
5023;5
5024;2
5026;3
5027;6
5028;6
5029;4
5030;2
5031;5
5032;1
5033;2
5034;6
5035;1
5104;6
5105;6
5106;5
5107;2
5110;1
6001;6
6002;5
6003;2
6004;2
6005;1
6006;5
6007;1
6008;5
6009;2
6010;1
6012;2
6013;2
6014;2
6015;2
6016;2
6017;2
6018;5
6020;2
6021;5
6022;2
6024;5
6025;2
6026;2
6027;1
6028;2
6029;5
6030;5
6031;2
6032;2
6103;2
6104;1
6107;2
6108;3
7001;5
7002;6
7003;2
7004;5
7005;5
7006;2
7007;2
7008;5
7009;2
7010;5
7011;5
7012;5
7013;6
7014;6
7015;5
7016;5
7017;6
7018;6
7019;6
7020;6
7021;3
7022;5
7023;2
7024;6
7025;2
7026;2
7101;2
7102;5
7103;3
8001;2
8002;1
8003;1
8004;2
8005;2
8007;2
8008;6
8009;1
8010;1
8011;1
8012;1
8013;5
