"P1";"P2";"time"
0,589238319421833;0,247772159406252;2017-03-07 08:00:00
0,574591535115602;0,2310649053536;2017-03-07 08:20:00
0,55332886722442;0,225075488617192;2017-03-07 08:40:00
0,559089066082994;0,232254517469373;2017-03-07 09:00:00
0,57168269110751;0,236797125072255;2017-03-07 09:20:00
0,588406801517458;0,242276923655874;2017-03-07 09:40:00
0,592763344956182;0,248881655313134;2017-03-07 10:00:00
0,593931243981283;0,248915498755833;2017-03-07 10:20:00
0,597329180124183;0,250016188990196;2017-03-07 10:40:00
0,594073239184983;0,254159147602651;2017-03-07 11:00:00
0,590564015083512;0,248710041340487;2017-03-07 11:20:00
0,593605282495026;0,248671474457933;2017-03-07 11:40:00
0,585762144074979;0,24856441702734;2017-03-07 12:00:00
0,591511498615959;0,249562636129004;2017-03-07 12:20:00
0,593789246489115;0,24307883821744;2017-03-07 12:40:00
0,596192427802609;0,239215056397146;2017-03-07 13:00:00
0,594161400025784;0,245475672405669;2017-03-07 13:20:00
0,608319197145473;0,237527650311815;2017-03-07 13:40:00
0,596155222061569;0,239465032126075;2017-03-07 14:00:00
0,609967815304036;0,233075747229773;2017-03-07 14:20:00
0,597886665954368;0,235073123715806;2017-03-07 14:40:00
0,613523175470261;0,236107606693669;2017-03-07 15:00:00
0,611559759107087;0,234168874647996;2017-03-07 15:20:00
0,611371950316724;0,232225291471818;2017-03-07 15:40:00
0,607129811378402;0,221623765209399;2017-03-07 16:00:00
0,603273500755571;0,232235280015543;2017-03-07 16:20:00
0,596823773251651;0,22706686541853;2017-03-07 16:40:00
0,598364719823828;0,220465761405333;2017-03-07 17:00:00
0,594297839962286;0,216573403299087;2017-03-07 17:20:00
0,586747140982562;0,217527828306582;2017-03-07 17:40:00
0,597511260882746;0,219323677391304;2017-03-07 18:00:00
0,586365285338004;0,211944679780792;2017-03-07 18:20:00
0,594639704062889;0,216099130772903;2017-03-07 18:40:00
0,593955337843343;0,217182486998736;2017-03-07 19:00:00
0,589851530214167;0,220145245469718;2017-03-07 19:20:00
0,604181789362341;0,230584096487945;2017-03-07 19:40:00
0,609311422775003;0,237142156524813;2017-03-07 20:00:00
0,61729143367168;0,238331613877572;2017-03-07 20:20:00
0,624095796684707;0,253963643424255;2017-03-07 20:40:00
0,619344106464148;0,258849262825865;2017-03-07 21:00:00
0,629376717355687;0,262799775923811;2017-03-07 21:20:00
0,631031391031962;0,262421473566354;2017-03-07 21:40:00
0,623843359135861;0,260095134266382;2017-03-07 22:00:00
0,626906644203141;0,26858400803693;2017-03-07 22:20:00
0,632792581845397;0,262080867050839;2017-03-07 22:40:00
0,627240404257355;0,266891019284494;2017-03-07 23:00:00
0,625534408437253;0,268018552332258;2017-03-07 23:20:00
0,622883852159121;0,273803963787675;2017-03-07 23:40:00
0,614179145817165;0,283381126851441;2017-03-08 00:00:00
0,614862587345658;0,28918611191086;2017-03-08 00:20:00
0,606197384632542;0,297035165702441;2017-03-08 00:40:00
0,599043212003568;0,30532241380598;2017-03-08 01:00:00
0,591781528428921;0,313273867154358;2017-03-08 01:20:00
0,590482495336551;0,318824651524139;2017-03-08 01:40:00
0,585652811235643;0,33148597198598;2017-03-08 02:00:00
0,581285148894219;0,331299521373851;2017-03-08 02:20:00
0,57889094395509;0,338092562528108;2017-03-08 02:40:00
0,559658146234552;0,320284487039861;2017-03-08 03:00:00
0,549499239636852;0,340390002451294;2017-03-08 03:20:00
0,557508415760572;0,349274837180881;2017-03-08 03:40:00
0,55431002980094;0,357009225586343;2017-03-08 04:00:00
0,552609971768267;0,362246357786115;2017-03-08 04:20:00
0,544171007711409;0,364662332913212;2017-03-08 04:40:00
0,545567619180638;0,366692821875384;2017-03-08 05:00:00
0,54614053906198;0,367891835733648;2017-03-08 05:20:00
0,549428956668093;0,360103324292656;2017-03-08 05:40:00
0,5488228656432;0,362881065047585;2017-03-08 06:00:00
0,545439496578243;0,357043246173087;2017-03-08 06:20:00
0,542410585180203;0,355940459543639;2017-03-08 06:40:00
0,538783650711536;0,34865710024569;2017-03-08 07:00:00
0,522963814398864;0,33967342652438;2017-03-08 07:20:00
0,50741740470229;0,33589804831775;2017-03-08 07:40:00
0,502481222145657;0,304031547003564;2017-03-08 08:00:00
0,47921721874414;0,279717260420725;2017-03-08 08:20:00
0,46900731966875;0,260265660326552;2017-03-08 08:40:00
0,496380398161432;0,252573732426842;2017-03-08 09:00:00
0,516648941579804;0,260167481355618;2017-03-08 09:20:00
0,546327595865405;0,267116166490819;2017-03-08 09:40:00
0,564881478684957;0,265040237719158;2017-03-08 10:00:00
0,562303906641187;0,266627901346065;2017-03-08 10:20:00
0,571495322816291;0,272571031565567;2017-03-08 10:40:00
0,575123785657841;0,272401935281807;2017-03-08 11:00:00
0,570649934363935;0,263504604276408;2017-03-08 11:20:00
0,572080187486425;0,26651384049702;2017-03-08 11:40:00
0,578024892119139;0,259819054550694;2017-03-08 12:00:00
0,570167968996787;0,249250065255115;2017-03-08 12:20:00
0,580646420130505;0,257946578057325;2017-03-08 12:40:00
0,583198665563788;0,249875078090331;2017-03-08 13:00:00
0,583118879580641;0,247040054411407;2017-03-08 13:20:00
0,58112833633005;0,246960664187786;2017-03-08 13:40:00
0,593589237714358;0,247257783694849;2017-03-08 14:00:00
0,588001540067528;0,246838116643872;2017-03-08 14:20:00
0,594294457154561;0,243286199303403;2017-03-08 14:40:00
0,600323723144374;0,241384663803878;2017-03-08 15:00:00
0,592632844904081;0,240928906100595;2017-03-08 15:20:00
