"P1";"P2";"P3";"P4";"P5";"P6";"time"
0,737794358855352;0,0816009286246977;0,294690012850546;0,103058619999245;0,753548141738215;0,357911576069858;2017-03-06 14:40:00
0,746831728692891;0,0843315276242872;0,288317843991029;0,100405822438628;0,765165443354997;0,355567805920092;2017-03-06 15:00:00
0,742442559748534;0,0808868235869606;0,298984617381396;0,0967092514524466;0,7639164636567;0,330009774800804;2017-03-06 15:20:00
0,73392811011871;0,0770617074079053;0,290052316743901;0,0870999465902051;0,77705671889856;0,345151094906273;2017-03-06 15:40:00
0,722609436547394;0,0804846814480836;0,294262444278443;0,0963243658897697;0,78325868063009;0,319807974561694;2017-03-06 16:00:00
0,729322883844532;0,0843994826261082;0,304223704531277;0,0906695654976772;0,761991600497751;0,323771542347715;2017-03-06 16:20:00
0,724232246171759;0,089107064936095;0,303949265222377;0,095557603681726;0,776680907549405;0,325982211609351;2017-03-06 16:40:00
0,732580589264172;0,0821738216614113;0,322470953195219;0,0900245353476224;0,782795971911397;0,316418672756364;2017-03-06 17:00:00
0,735216149443608;0,0892433303584638;0,305997036924427;0,0955309013535748;0,794169464097298;0,337900686038939;2017-03-06 17:20:00
0,741129342599669;0,0888239180699583;0,328181468385188;0,100451286676564;0,78695008844743;0,33354500911647;2017-03-06 17:40:00
0,74009971464236;0,0925048946062393;0,332254492752986;0,0991887163837095;0,785260265406053;0,353929410232155;2017-03-06 18:00:00
0,737483530470759;0,0897454991138383;0,320621808603176;0,100895259003412;0,765386155017539;0,336193789081066;2017-03-06 18:20:00
0,751317810119017;0,0938809937210975;0,320657946559447;0,106454434513241;0,761092149998987;0,371988617730576;2017-03-06 18:40:00
0,766668490566442;0,0977889961458038;0,315697863806193;0,114268596867838;0,77313756051218;0,371300926693219;2017-03-06 19:00:00
0,768543500712487;0,091281366910006;0,315669454020775;0,112199460859501;0,775527921809971;0,388995862189256;2017-03-06 19:20:00
0,757207256914967;0,0911494279612065;0,34358053768818;0,123212652671916;0,776540671251377;0,385166568910384;2017-03-06 19:40:00
0,779720560596069;0,097347277121707;0,314219877801834;0,11384456863883;0,765283622975277;0,417315225719632;2017-03-06 20:00:00
0,788384273352741;0,0952711047676864;0,320340196434741;0,122958040753452;0,771527098700659;0,423101060201084;2017-03-06 20:20:00
0,798884453191866;0,096279322959114;0,337680740272621;0,125271986083281;0,762482041265189;0,43511748052119;2017-03-06 20:40:00
0,79423823219503;0,0969677883098465;0,327046295045071;0,128745012869659;0,770846948819855;0,459937767062509;2017-03-06 21:00:00
0,801202444711883;0,0967162733571624;0,323344911247585;0,130581640159261;0,766609470904802;0,461718058385784;2017-03-06 21:20:00
