"P1";"P2";"P3";"P4";"time"
0,517160129181746;0,249844258055476;0,771976322964221;0,0959216616464787;2017-03-06 20:00:00
0,520164764635096;0,269682122998425;0,77939153188338;0,0941614110229243;2017-03-06 20:20:00
0,530298922396259;0,276410258074364;0,782063569543677;0,0976197567405212;2017-03-06 20:40:00
0,527576820546997;0,287843579245659;0,786227352724883;0,0977582662278417;2017-03-06 21:00:00
0,524160707277467;0,288863628271811;0,789748278402127;0,0986602293878802;2017-03-06 21:20:00
0,520010002199851;0,300814451365225;0,78921822804146;0,0980582389748122;2017-03-06 21:40:00
0,521053436216058;0,305408005554226;0,789317046393381;0,0992598836953661;2017-03-06 22:00:00
0,515871005387482;0,306324910343259;0,791492111658355;0,0990977021113702;2017-03-06 22:20:00
0,521625682376475;0,306225669868851;0,789825288961452;0,100483274759143;2017-03-06 22:40:00
0,502479304679939;0,326968660523281;0,793455101180903;0,0989301086874751;2017-03-06 23:00:00
0,499100353718527;0,330853888438544;0,785124885728588;0,101685591212068;2017-03-06 23:20:00
0,492409696734386;0,3341539791424;0,788841474563432;0,107251643109539;2017-03-06 23:40:00
0,475052615804691;0,346531941088948;0,786635455850866;0,116813950391249;2017-03-07 00:00:00
0,469606867303977;0,35645582167822;0,776383327382284;0,12277503901784;2017-03-07 00:20:00
0,461015318270037;0,364813243251485;0,777872630659791;0,13016509020217;2017-03-07 00:40:00
0,457560972066956;0,365728570723415;0,767327118147631;0,141450899602728;2017-03-07 01:00:00
0,458708392323389;0,367393397310722;0,767869549916307;0,149770443700515;2017-03-07 01:20:00
0,451917475682049;0,363958127771941;0,7613512575903;0,159542036580426;2017-03-07 01:40:00
0,45095904864789;0,376380561502473;0,759435674593434;0,165248914770174;2017-03-07 02:00:00
0,44601050122738;0,375384577889528;0,753882679640404;0,17298081865747;2017-03-07 02:20:00
0,436897603348274;0,378798298349505;0,749479890793251;0,183496994922144;2017-03-07 02:40:00
0,429763974659389;0,363164979985582;0,723994244173335;0,184113015050635;2017-03-07 03:00:00
0,430421566861146;0,379561787361283;0,706186617506524;0,190555415867173;2017-03-07 03:20:00
0,421740535084828;0,386015859304233;0,731738137702024;0,203215012920934;2017-03-07 03:40:00
