NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
KINEPOLIS 1;ZA DU GRAND BUT;59160;LOMME;59;NORD-PAS-DE-CALAIS;7 408;34 198;De 2 à 3 millions d'entrées
UGC CINE CITE 9;25 ROUTE DU RHIN;67000;STRASBOURG;67;ALSACE;5 412;43 474;De 1,5 à 2 millions d'entrées
KINEPOLIS 1;175 AVENUE ROBERT SCHUMAN;68100;MULHOUSE;68;ALSACE;4 533;20 993;De 500 à 1 million d'entrées
UGC CINE CITE BERCY 10;2 COUR SAINT-EMILION;75012;PARIS 12ME;75;ILE-DE-FRANCE;4 440;39 835;De 2 à 3 millions d'entrées
GRAND REX;1 A 5 BD POISSONNIERE;75002;PARIS 2ME;75;ILE-DE-FRANCE;4 274;13 739;De 500 à 1 million d'entrées
KINEPOLIS 13;10 AV PAUL LANGEVIN;57070;SAINT-JULIEN-LES-METZ;57;LORRAINE;4 058;21 930;De 500 à 1 million d'entrées
GAUMONT DISNEY VILLAGE 1;1 ESPLANADE FRANCOIS TRUFFAUT;77705;CHESSY;77;ILE-DE-FRANCE;3 923;28 972;De 1 à 1,5 million d'entrées
GAUMONT MULTIPLEXE 1;235 RUE GEORGES MELIES;34000;MONTPELLIER;34;LANGUEDOC-ROUSSILLON;3 919;32 925;De 1 à 1,5 million d'entrées
UGC CINE CITE LES HALLES 1;7 PLACE DE LA ROTONDE;75001;PARIS 1ER;75;ILE-DE-FRANCE;3 894;67 794;Plus de 3 millions d'entrées
PATHE 1;5 RUE FRANCOIS MITTERRAND;94200;IVRY-SUR-SEINE;94;ILE-DE-FRANCE;3 830;29 342;De 1 à 1,5 million d'entrées
GAUMONT 1;26 BD PIERRE BROSSOLETTE;76120;LE GRAND-QUEVILLY;76;HAUTE-NORMANDIE;3 828;28 786;De 500 à 1 million d'entrées
MEGARAMA 1;44 AVENUE DE LA LONGUE BERTRANE;92390;VILLENEUVE-LA-GARENNE;92;ILE-DE-FRANCE;3 728;31 965;De 500 à 1 million d'entrées
GAUMONT 1;AV DES ALPES ET RUE DU DAUPHINE;59300;VALENCIENNES;59;NORD-PAS-DE-CALAIS;3 710;24 713;De 500 à 1 million d'entrées
PATHE BELLE EPINE 4;CENTRE COMMERCIAL BELLE EPINE;94320;THIAIS;94;ILE-DE-FRANCE;3 679;35 223;De 1,5 à 2 millions d'entrées
PATHE CARRE DE SOIE 1;2 RUE JACQUARD;69120;VAULX-EN-VELIN;69;RHONE-ALPES;3 669;30 179;De 1 à 1,5 million d'entrées
GAUMONT 1;105 LA MERIDIENNE;31670;LABEGE;31;MIDI-PYRENEES;3 644;30 371;De 1 à 1,5 million d'entrées
UGC CINE CITE LA DEFENSE 1;LE DOME;92800;PUTEAUX;92;ILE-DE-FRANCE;3 642;36 442;De 1,5 à 2 millions d'entrées
UGC CINE CITE SQY OUEST 1;1 AV. DE LA SOURCE DE LA BIEVRE;78180;MONTIGNY-LE-BRETONNEUX;78;ILE-DE-FRANCE;3 612;34 982;De 1 à 1,5 million d'entrées
GAUMONT CARRE SENART 1;3 ALLEE DU PREAMBULE;77566;LIEUSAINT;77;ILE-DE-FRANCE;3 566;35 956;De 1,5 à 2 millions d'entrées
GAUMONT WILSON 14;3 PLACE WILSON;31000;TOULOUSE;31;MIDI-PYRENEES;3 529;25 633;De 1 à 1,5 million d'entrées
PATHE 1;CHEMIN DES  PENNES AUX PINS;13170;LES PENNES-MIRABEAU;13;PROVENCE-ALPES-COTE D'AZUR;3 509;30 189;De 1,5 à 2 millions d'entrées
UGC CINE CITE CONFLUENCE 10;1 RUE MONTROCHET;69002;LYON;69;RHONE-ALPES;3 464;27 847;De 500 à 1 million d'entrées
PATHE 1;91 RUE LOUIS BLANC & EMILE ZOLA;60160;MONTATAIRE;60;PICARDIE;3 450;23 757;De 500 à 1 million d'entrées
PATHE 1;RUE FRANÇOIS COURTIN;62800;LIEVIN;62;NORD-PAS-DE-CALAIS;3 391;26 359;De 500 à 1 million d'entrées
UGC CINE CITE ROSNY 1;16 RUE CONRAD ADENAUER;93110;ROSNY-SOUS-BOIS;93;ILE-DE-FRANCE;3 324;32 636;De 1,5 à 2 millions d'entrées
MEGA CGR 3;RUE DE L'INDUSTRIE - ZI NORD;69530;BRIGNAIS;69;RHONE-ALPES;3 297;31 748;De 500 à 1 million d'entrées
MEGA CGR 1;AVENUE DU 7EME ART;33140;VILLENAVE-D ORNON;33;AQUITAINE;3 271;31 496;De 500 à 1 million d'entrées
OCINE DUNKERQUE 1 (EX-AMC MARINE 20 SALLE 1);RUE DES FUSILIERS MARINS;59140;DUNKERQUE;59;NORD-PAS-DE-CALAIS;3 211;23 707;De 500 à 1 million d'entrées
MEGA CGR 1;ALLEE EMILE ZOLA;31700;BLAGNAC;31;MIDI-PYRENEES;3 002;31 493;De 500 à 1 million d'entrées
PATHE DOCKS 76  1;BOULEVARD FERDINAND DE LESSEPS;76000;ROUEN;76;HAUTE-NORMANDIE;2 997;28 953;De 1 à 1,5 million d'entrées
UGC CINE CITE 1;350 RUE DES MAZUROTS;54710;LUDRES;54;LORRAINE;2 996;28 588;De 500 à 1 million d'entrées
PATHE ATLANTIS 1;8 ALLEE LA PEROUSE;44800;SAINT-HERBLAIN;44;PAYS-DE-LA-LOIRE;2 985;27 815;De 500 à 1 million d'entrées
PATHE CHAVANT 1;21 BOULEVARD MARECHAL LYAUTEY;38000;GRENOBLE;38;RHONE-ALPES;2 984;21 238;De 500 à 1 million d'entrées
MK2 BIBLIOTHEQUE A;128 A 162 AVENUE DE FRANCE;75013;PARIS 13ME;75;ILE-DE-FRANCE;2 981;35 147;De 1,5 à 2 millions d'entrées
MEGA CGR 1;PROMENADE DU 7ÈME ART;77200;TORCY;77;ILE-DE-FRANCE;2 974;35 120;De 500 à 1 million d'entrées
PATHE BELFORT 1;1 BOULEVARD RICHELIEU;90000;BELFORT;90;FRANCHE-COMTE;2 973;24 385;De 400 à 500 000 entrées
FORUM KINEPOLIS 1;130 RUE MICHEL DEBRE;30900;NIMES;30;LANGUEDOC-ROUSSILLON;2 928;18 754;De 500 à 1 million d'entrées
PATHE 1;4 RUE ALBERT LONDRES;38130;ECHIROLLES;38;RHONE-ALPES;2 925;21 386;De 500 à 1 million d'entrées
MEGARAMA 1;7 QUAI DES QUEYRIES;33100;BORDEAUX;33;AQUITAINE;2 878;30 194;De 500 à 1 million d'entrées
GAUMONT PARNASSE 1;3 RUE D'ODESSA;75014;PARIS 14ME;75;ILE-DE-FRANCE;2 876;32 948;De 1 à 1,5 million d'entrées
UGC CINE CITE 10;CENTRE COMMERCIAL CRETEIL SOLEIL;94000;CRETEIL;94;ILE-DE-FRANCE;2 858;26 717;De 1 à 1,5 million d'entrées
KINEPOLIS 1;50 ROUTE D'ARLON;57100;THIONVILLE;57;LORRAINE;2 844;15 702;De 500 à 1 million d'entrées
UGC CINE CITE 1;21 AVENUE DE L'AVENIR;59650;VILLENEUVE-D ASCQ;59;NORD-PAS-DE-CALAIS;2 835;23 962;De 500 à 1 million d'entrées
UGC CINE CITE 1;80 QUAI CHARLES DE GAULLE;69006;LYON;69;RHONE-ALPES;2 830;27 356;De 500 à 1 million d'entrées
PATHE 1;6 RUE DES FRERES LUMIERE;67170;BRUMATH;67;ALSACE;2 829;21 046;De 500 à 1 million d'entrées
PATHE LINGOSTIERE 1;604 ROUTE DE GRENOBLE;06200;NICE;06;PROVENCE-ALPES-COTE D'AZUR;2 816;24 507;De 1 à 1,5 million d'entrées
CINE LIBERTE 1;10 AVENUE GEORGES CLEMENCEAU;29200;BREST;29;BRETAGNE;2 805;27 749;De 500 à 1 million d'entrées
PATHE VAISE 1;43 RUE DES DOCKS;69009;LYON;69;RHONE-ALPES;2 801;23 891;De 500 à 1 million d'entrées
GAUMONT 1;12 RUE YVONNE JEAN HAFFEN;35000;RENNES;35;BRETAGNE;2 800;25 125;De 500 à 1 million d'entrées
UGC CINE CITE PARIS 19 (1);166 BOULEVARD MAC DONALD;75019;PARIS 19ME;75;ILE-DE-FRANCE;2 790;29 809;De 400 à 500 000 entrées
UGC CINE CITE 1;8 PLACE DES 3 GARES;95800;CERGY;95;ILE-DE-FRANCE;2 768;28 166;De 500 à 1 million d'entrées
UGC 6;40/48 RUE DE BETHUNE;59000;LILLE;59;NORD-PAS-DE-CALAIS;2 725;27 759;De 500 à 1 million d'entrées
GAUMONT 1;5 BOULEVARD DE BELFORT;80000;AMIENS;80;PICARDIE;2 682;23 769;De 500 à 1 million d'entrées
GAUMONT 1;PARC D'ACTIVITES DU GENEVOIS;74160;ARCHAMPS;74;RHONE-ALPES;2 679;19 654;De 500 à 1 million d'entrées
UGC CINE CITE 1;13-15 RUE GEORGES BONNAC;33000;BORDEAUX;33;AQUITAINE;2 648;35 669;De 500 à 1 million d'entrées
KINEPOLIS NANCY 1;3/5 RUE VICTOR;54000;NANCY;54;LORRAINE;2 644;17 041;De 500 à 1 million d'entrées
PATHE GRAND CIEL 1;22 AVENUE ANDRE LURCAT;83130;LA GARDE;83;PROVENCE-ALPES-COTE D'AZUR;2 643;22 857;De 1 à 1,5 million d'entrées
PATHE 1;RUE DE L'HAUTIL;78700;CONFLANS-SAINTE-HONORINE;78;ILE-DE-FRANCE;2 642;20 639;De 1 à 1,5 million d'entrées
MEGA CGR 1;ZAC DU PRADO;18000;BOURGES;18;CENTRE;2 620;24 898;De 400 à 500 000 entrées
CINEMOVIDA MEGA CASTILLET 1;ZAC MAS BALANDE;66000;PERPIGNAN;66;LANGUEDOC-ROUSSILLON;2 609;25 207;De 500 à 1 million d'entrées
PATHE CAP SUD 1;ZONE COMMERCIALE CAP SUD;84000;AVIGNON;84;PROVENCE-ALPES-COTE D'AZUR;2 604;24 326;De 500 à 1 million d'entrées
UGC CINE CITE O'PARINOR 1;LE HAUT DE GALY;93600;AULNAY-SOUS-BOIS;93;ILE-DE-FRANCE;2 592;7 371;De 200 à 300 000 entrées
GAUMONT AQUABOULEVARD 1;8/16 RUE DU COLONEL PIERRE AVIA;75015;PARIS 15ME;75;ILE-DE-FRANCE;2 583;28 359;De 500 à 1 million d'entrées
MEGA CGR 1;CAP MALO - BORDURE D27 & RN 137;35520;LA MEZIERE;35;BRETAGNE;2 580;25 137;De 500 à 1 million d'entrées
CINE DOME 1;AVENUE LAVOISIER;63170;AUBIERE;63;AUVERGNE;2 576;25 401;De 500 à 1 million d'entrées
MEGA CGR 1;ZAC DES COMMANDEURS;34970;LATTES;34;LANGUEDOC-ROUSSILLON;2 572;24 633;De 400 à 500 000 entrées
MEGA CGR 1;PLACE DU 7EME ART;64000;PAU;64;AQUITAINE;2 570;25 008;De 500 à 1 million d'entrées
GAUMONT 1;RUE DE L'EUROPE;57360;AMNEVILLE;57;LORRAINE;2 568;17 805;De 400 à 500 000 entrées
MEGA CGR 1;BOULEVARD JACQUES DUCLOS;40220;TARNOS;40;AQUITAINE;2 567;23 358;De 200 à 300 000 entrées
MEGA CGR 1;5 AVENUE DU MARECHAL  JOFFRE;93800;EPINAY-SUR-SEINE;93;ILE-DE-FRANCE;2 565;25 019;De 500 à 1 million d'entrées
MEGA CGR 1;AVENUE DE LA LIBERATION - RN 41;62700;BRUAY-LA-BUISSIERE;62;NORD-PAS-DE-CALAIS;2 560;24 662;De 400 à 500 000 entrées
MEGA CGR 1;BOULEVARD FELIX AMIOT;50100;CHERBOURG;50;BASSE-NORMANDIE;2 536;24 303;De 300 à 400 000 entrées
UGC CINE CITE 1;CENTRE COMMERCIAL DE SAINT SEVER;76100;ROUEN;76;HAUTE-NORMANDIE;2 535;28 326;De 400 à 500 000 entrées
MAJESTIC COMPIEGNE 1;PLACE JACQUES TATI;60880;JAUX;60;PICARDIE;2 525;16 432;De 400 à 500 000 entrées
GAUMONT 1;AVENUE DES DROITS DE L'HOMME;49000;ANGERS;49;PAYS-DE-LA-LOIRE;2 522;22 968;De 500 à 1 million d'entrées
MEGA KINE 1;ROUTE DE METZ;57800;FREYMING-MERLEBACH;57;LORRAINE;2 474;19 290;De 300 à 400 000 entrées
UGC CINE CITE ATLANTIS 12;PLACE JEAN BART;44800;SAINT-HERBLAIN;44;PAYS-DE-LA-LOIRE;2 462;24 442;De 500 à 1 million d'entrées
MEGA CGR 1;1 PLACE SCHEURER KESTNER;68021;COLMAR;68;ALSACE;2 458;24 689;De 500 à 1 million d'entrées
UGC CINE CITE 1;RUE ERNEST COGNACQ;14120;MONDEVILLE;14;BASSE-NORMANDIE;2 452;26 347;De 500 à 1 million d'entrées
LES TROIS PALMES 1;2 BOULEVARD LEON BANCAL;13011;MARSEILLE;13;PROVENCE-ALPES-COTE D'AZUR;2 436;17 824;De 1 à 1,5 million d'entrées
MEGA CGR 1;AVENUE HENRI BECQUEREL;17000;LA ROCHELLE;17;POITOU-CHARENTES;2 421;25 007;De 500 à 1 million d'entrées
GAUMONT 1;QUAI DES ANTILLES;76600;LE HAVRE;76;HAUTE-NORMANDIE;2 412;24 245;De 500 à 1 million d'entrées
MEGA CGR 2 LIONS 1;AVENUE MARCEL MERIEUX;37200;TOURS;37;CENTRE;2 408;25 202;De 500 à 1 million d'entrées
CINEVILLE 1;AVENUE DU BORD DES EAUX;62110;HENIN-BEAUMONT;62;NORD-PAS-DE-CALAIS;2 401;18 898;De 500 à 1 million d'entrées
CINE CAP VERT 1;RUE DU CAP VERT;21800;QUETIGNY;21;BOURGOGNE;2 393;22 083;De 500 à 1 million d'entrées
UGC PART DIEU 14;CENTRE COMMERC PART DIEU NIVEAU;69003;LYON;69;RHONE-ALPES;2 387;26 963;De 500 à 1 million d'entrées
SALLE LIVE;RUE DES BUISSONS;93290;TREMBLAY-EN-FRANCE;93;ILE-DE-FRANCE;2 380;25 031;De 400 à 500 000 entrées
GAUMONT CITE EUROPE 1;1001 BOULEVARD DU KENT;62231;COQUELLES;62;NORD-PAS-DE-CALAIS;2 371;19 359;De 500 à 1 million d'entrées
PATHE 1;53 AVENUE DE ROMANS;26000;VALENCE;26;RHONE-ALPES;2 343;20 427;De 500 à 1 million d'entrées
PATHE ORLEANS 1;45 RUE DES HALLES;45000;ORLEANS;45;CENTRE;2 309;23 160;De 500 à 1 million d'entrées
GAUMONT 1;ALLEE DU 7EME ART;33400;TALENCE;33;AQUITAINE;2 293;16 998;De 400 à 500 000 entrées
CAPITOLE STUDIO 1;AVENUE DE SAINT TRONQUET;84130;LE PONTET;84;PROVENCE-ALPES-COTE D'AZUR;2 278;19 021;De 500 à 1 million d'entrées
HORIZON GRANDS ECRANS 1;11 PLACE DENIS DUSSOUBS;87000;LIMOGES;87;LIMOUSIN;2 276;20 506;De 300 à 400 000 entrées
GAUMONT 1;PARC MILLESIME;51370;THILLOIS;51;CHAMPAGNE-ARDENNE;2 223;20 968;De 500 à 1 million d'entrées
MEGA CGR 1;AVENUE DES FRERES LUMIERE;86180;BUXEROLLES;86;POITOU-CHARENTES;2 219;24 903;De 400 à 500 000 entrées
PATHE DAMMARIE 1;824 AVENUE DU LYS;77190;DAMMARIE-LES-LYS;77;ILE-DE-FRANCE;2 181;17 805;De 400 à 500 000 entrées
GAUMONT OPERA CAPUCINES 2;2/4 BOULEVARD DES CAPUCINES;75009;PARIS 9ME;75;ILE-DE-FRANCE;2 169;13 309;De 500 à 1 million d'entrées
MEGA CGR 1;ROUTE D'ALENCON;72650;SAINT-SATURNIN;72;PAYS-DE-LA-LOIRE;2 144;25 325;De 500 à 1 million d'entrées
MEGA CGR 1;C.C ROUSSILLON NORD LITTORAL;66600;RIVESALTES;66;LANGUEDOC-ROUSSILLON;2 143;24 604;De 300 à 400 000 entrées
PATHE WEPLER 8;132 -140 BOULEVARD DE CLICHY;75018;PARIS 18ME;75;ILE-DE-FRANCE;2 139;23 134;De 1 à 1,5 million d'entrées
CINE CITY 1;RUE DES BAS TREVOIS;10000;TROYES;10;CHAMPAGNE-ARDENNE;2 126;15 266;De 500 à 1 million d'entrées
PATHE 9;79 RUE DE LA REPUBLIQUE;69002;LYON;69;RHONE-ALPES;2 104;19 789;De 500 à 1 million d'entrées
CINEVILLE 1;4 BOULEVARD DU MARECHAL  JOFFRE;56100;LORIENT;56;BRETAGNE;2 091;18 956;De 400 à 500 000 entrées
CINE MARIVAUX 01;70 RUE MICHEL DEBRE;71000;MACON;71;BOURGOGNE;2 085;18 813;De 500 à 1 million d'entrées
MEGA CGR 1;PLACE HENRI DUNANT;78200;MANTES-LA-JOLIE;78;ILE-DE-FRANCE;2 081;18 506;De 400 à 500 000 entrées
MEGA CGR 1;PLACE DE LA BRECHE;79000;NIORT;79;POITOU-CHARENTES;2 052;24 861;De 400 à 500 000 entrées
MEGA CGR 1;PLACE DE L'AGORA - CE 169;91022;EVRY;91;ILE-DE-FRANCE;2 052;22 219;De 300 à 400 000 entrées
MEGA CGR 1;AVENUE DES FORGES;65000;TARBES;65;MIDI-PYRENEES;2 049;22 565;De 400 à 500 000 entrées
PATHE EVREUX 1;3 RUE DU 7 EME CHASSEURS;27000;EVREUX;27;HAUTE-NORMANDIE;2 016;17 941;De 500 à 1 million d'entrées
GRAND ECRAN ESTER 1;RUE ARISTIDE BRIAND;87000;LIMOGES;87;LIMOUSIN;2 015;13 368;De 400 à 500 000 entrées
CINEVILLE 1;RUE FRANCOIS CEVERT;85000;LA ROCHE-SUR-YON;85;PAYS-DE-LA-LOIRE;2 014;12 944;De 500 à 1 million d'entrées
MEGAROYAL 1;RUE THEOPHILE DIEDERICHS;38300;BOURGOIN-JALLIEU;38;RHONE-ALPES;2 010;18 311;De 500 à 1 million d'entrées
METROPOLIS 1;RUE LONGUEVILLE;08000;CHARLEVILLE MEZIERES;08;CHAMPAGNE-ARDENNE;2 008;17 511;De 400 à 500 000 entrées
SALLE 1;2/4/6 RUE PRAIRE;42000;SAINT-ETIENNE;42;RHONE-ALPES;2 006;17 265;De 500 à 1 million d'entrées
MAJESTIC 1;BOULEVARD DE LA RÉPUBLIQUE;59500;DOUAI;59;NORD-PAS-DE-CALAIS;2 000;16 605;De 300 à 400 000 entrées
MEGA CGR 1;AVENUE PIERRE BEREGOVOY;34420;VILLENEUVE-LES-BEZIERS;34;LANGUEDOC-ROUSSILLON;1 991;24 478;De 400 à 500 000 entrées
CINEVILLE 1;6 ESPLANADE MARIE DE KERSTRAT;29000;QUIMPER;29;BRETAGNE;1 987;16 453;De 400 à 500 000 entrées
CINEVILLE 1;5 BD DE LA LEGION D'HONNEUR;44600;SAINT-NAZAIRE;44;PAYS-DE-LA-LOIRE;1 986;14 354;De 400 à 500 000 entrées
PATHE SARAN 1;1010 RUE NATIONALE;45770;SARAN;45;CENTRE;1 975;17 411;De 500 à 1 million d'entrées
GAUMONT 1;12 PLACE DU COMMERCE;44000;NANTES;44;PAYS-DE-LA-LOIRE;1 962;23 842;De 500 à 1 million d'entrées
PATHE 1;7 RUE LINOIS;75015;PARIS 15ME;75;ILE-DE-FRANCE;1 962;21 869;De 500 à 1 million d'entrées
MAJESTIC - ESPACE DES LUMIER;16 RUE COURVOISIER;70000;VESOUL;70;FRANCHE-COMTE;1 961;16 731;De 300 à 400 000 entrées
CAP CINEMA 1;ZONE DU FUTUROPOLE;82000;MONTAUBAN;82;MIDI-PYRENEES;1 958;16 486;De 400 à 500 000 entrées
AMPHI 1;1 ALLEE DES BROTTEAUX;01000;BOURG EN BRESSE;01;RHONE-ALPES;1 938;12 731;De 400 à 500 000 entrées
CINE QUAI 1;QUAI GAYANT;02100;SAINT QUENTIN;02;PICARDIE;1 927;20 219;De 300 à 400 000 entrées
GRAND PALAIS 9 (EX1);3 COURS DE LA REPUBLIQUE;42300;ROANNE;42;RHONE-ALPES;1 919;13 156;De 300 à 400 000 entrées
CAP' CINE 1;RUE DES ONZE ARPENTS;41000;BLOIS;41;CENTRE;1 915;15 449;De 400 à 500 000 entrées
CINESPACE 1;16 RUE CORRÉUS;60000;BEAUVAIS;60;PICARDIE;1 913;14 841;De 500 à 1 million d'entrées
MEGA CGR LE FRANCAIS 1;ROND-POINT DE L' INTENDANCE;33000;BORDEAUX;33;AQUITAINE;1 900;24 371;De 400 à 500 000 entrées
MEGA CGR CENTRE 1;4 PLACE FRANCOIS TRUFFAUT;37000;TOURS;37;CENTRE;1 898;16 453;De 200 à 300 000 entrées
MEGA CGR 1;RUE GUSTAVE ZEDE;56600;LANESTER;56;BRETAGNE;1 890;22 432;De 400 à 500 000 entrées
MEGARAMA 1;12 BOULEVARD MOISE FOGLIA;25400;AUDINCOURT;25;FRANCHE-COMTE;1 880;17 504;De 400 à 500 000 entrées
CINEPARADIS 1;13 PLACE DE LA PORTE ST MICHEL;28000;CHARTRES;28;CENTRE;1 880;13 026;De 400 à 500 000 entrées
MEGA CGR 1;30 RUE SAINT- ROCH;16000;ANGOULEME;16;POITOU-CHARENTES;1 876;22 359;De 400 à 500 000 entrées
PATHE;14 ESPLANADE LEOPOLD S.SENGHOR;14000;CAEN;14;BASSE-NORMANDIE;1 870;18 717;De 500 à 1 million d'entrées
CAP CINEMA 1;PLACE FRANCHEVILLE;24000;PERIGUEUX;24;AQUITAINE;1 864;17 822;De 300 à 400 000 entrées
CINEVILLE 1;25 QUAI GAMBETTA;53000;LAVAL;53;PAYS-DE-LA-LOIRE;1 844;13 404;De 400 à 500 000 entrées
DECAVISION 1;"AV. DE BROGNY - ZAC ""COURIER""";74000;ANNECY;74;RHONE-ALPES;1 839;17 275;De 500 à 1 million d'entrées
CAP CINEMA CARCASSONNE 1;ZONE DU PONT ROUGE;11000;CARCASSONNE;11;LANGUEDOC-ROUSSILLON;1 830;15 017;De 300 à 400 000 entrées
CINE MAZARIN 1;RUE DE CHARLEVILLE;58000;NEVERS;58;BOURGOGNE;1 816;16 654;De 300 à 400 000 entrées
PATHE 1;3 PLACE DES JACOBINS;72000;LE MANS;72;PAYS-DE-LA-LOIRE;1 811;15 830;De 300 à 400 000 entrées
UGC CINE CITE 10;CENTRE COMMERCIAL LES ARCADES;93160;NOISY-LE-GRAND;93;ILE-DE-FRANCE;1 797;21 544;De 500 à 1 million d'entrées
CINEVILLE 1;RUE MARIE CURIE;44230;SAINT-SEBASTIEN-SUR-LOIRE;44;PAYS-DE-LA-LOIRE;1 792;15 980;De 500 à 1 million d'entrées
OCINE 1;AVENUE DE LA GARE;59600;MAUBEUGE;59;NORD-PAS-DE-CALAIS;1 744;13 487;De 300 à 400 000 entrées
MAJESTIC PALACE 1;ZAC DES PLAINES DE FIGUEROLLES;13500;MARTIGUES;13;PROVENCE-ALPES-COTE D'AZUR;1 741;16 819;De 300 à 400 000 entrées
LE TRÈFLE 1 (EX-L'ATALANTE 1);ZONE DE LOISIRS LE TRÈFLE;67120;DORLISHEIM;67;ALSACE;1 729;17 660;De 500 à 1 million d'entrées
CELTIC 1;187 RUE JEAN JAURES;29200;BREST;29;BRETAGNE;1 727;12 172;De 100 à 150 000 entrées
GAUMONT CHAMPS ELYSEES MARIGNAN 3;27/33 AVENUE DES CHAMPS ELYSEES;75008;PARIS 8ME;75;ILE-DE-FRANCE;1 701;11 879;De 400 à 500 000 entrées
GEORGE V 1;146 AVENUE DES CHAMPS ELYSEES;75008;PARIS 8ME;75;ILE-DE-FRANCE;1 666;24 813;De 500 à 1 million d'entrées
CINEVILLE PARC LANN 1;RUE ARISTIDE BOUCICAUT;56000;VANNES;56;BRETAGNE;1 660;10 299;De 500 à 1 million d'entrées
CEZANNE 1;1 RUE MARCEL GUILLAUME;13100;AIX-EN-PROVENCE;13;PROVENCE-ALPES-COTE D'AZUR;1 642;17 180;De 500 à 1 million d'entrées
OLYMPIA 1;16 AV DU MARECHAL FOCH;21000;DIJON;21;BOURGOGNE;1 634;17 871;De 200 à 300 000 entrées
PATHE CHAMBERY LES HALLES 1;4 RUE DERRIERE LES MURS;73000;CHAMBERY;73;RHONE-ALPES;1 611;17 632;De 400 à 500 000 entrées
UGC NORMANDIE 1;116 AVENUE DES CHAMPS ELYSEES;75008;PARIS 8ME;75;ILE-DE-FRANCE;1 610;8 129;De 300 à 400 000 entrées
CINE LIBERTE 1;46 BOULEVARD MARECHAL LECLERC;83000;TOULON;83;PROVENCE-ALPES-COTE D'AZUR;1 605;15 119;De 500 à 1 million d'entrées
CINELAND 1;ZAC DU ROND PIONT DE BREZILLET;22950;TREGUEUX;22;BRETAGNE;1 604;13 122;De 500 à 1 million d'entrées
CAP CINEMA 1;PLACE DU FOIRAIL;12000;RODEZ;12;MIDI-PYRENEES;1 603;17 852;De 300 à 400 000 entrées
CINEMA CONFLUENCES 1;PETIT FOSSARD;77130;VARENNES-SUR-SEINE;77;ILE-DE-FRANCE;1 603;15 077;De 300 à 400 000 entrées
MEGA CGR  1;RUE AUGUSTIN FRESNEL;51000;CHALONS-EN-CHAMPAGNE;51;CHAMPAGNE-ARDENNE;1 601;17 630;De 200 à 300 000 entrées
CINES PALACE 1;RUE SAINT MICHEL;88000;EPINAL;88;LORRAINE;1 600;10 793;De 400 à 500 000 entrées
CAP CINEMA 1;PLACE DU PIN;47000;AGEN;47;AQUITAINE;1 595;18 238;De 300 à 400 000 entrées
CASINO 1;1 BOULEVARD DU 11 NOVEMBRE;89000;AUXERRE;89;BOURGOGNE;1 593;16 644;De 300 à 400 000 entrées
UGC MONTPARNASSE 1;83 BD DU MONTPARNASSE;75006;PARIS 6ME;75;ILE-DE-FRANCE;1 592;14 987;De 500 à 1 million d'entrées
PRADO 1;36 AVENUE DU PRADO;13006;MARSEILLE;13;PROVENCE-ALPES-COTE D'AZUR;1 590;18 205;De 400 à 500 000 entrées
LE DUPLEXE 1;47 GRAND' RUE;59100;ROUBAIX;59;NORD-PAS-DE-CALAIS;1 590;15 453;De 200 à 300 000 entrées
GAUMONT CHAMPS ELYSEES AMBASSADE 6;50 AVENUE DES CHAMPS ELYSEES;75008;PARIS 8ME;75;ILE-DE-FRANCE;1 568;14 766;De 300 à 400 000 entrées
CYRANO A;7 RUE RAMEAU;78000;VERSAILLES;78;ILE-DE-FRANCE;1 562;15 130;De 400 à 500 000 entrées
UGC 1 (EX UGC VARIETES 1);9 ALLEE FRANKLIN ROOSEVELT;31000;TOULOUSE;31;MIDI-PYRENEES;1 554;17 871;De 400 à 500 000 entrées
CINE CENTRE 1;5 ESPLANADE DU CHAMP DE FOIRE;28100;DREUX;28;CENTRE;1 544;14 503;De 300 à 400 000 entrées
GAUMONT 1;72 PLACE DROUET D' ERLON;51100;REIMS;51;CHAMPAGNE-ARDENNE;1 541;11 065;De 200 à 300 000 entrées
CINEMOVIDA 1;PLACE DE L'AMITIE ENTRE LES PEUP;81000;ALBI;81;MIDI-PYRENEES;1 533;12 730;De 200 à 300 000 entrées
GAUMONT 1;8 RUE DU MONDIAL 1998;93200;SAINT-DENIS;93;ILE-DE-FRANCE;1 513;15 240;De 400 à 500 000 entrées
CINE POLE SUD 5;SCI MAPHI;44115;BASSE-GOULAINE;44;PAYS-DE-LA-LOIRE;1 506;18 240;De 500 à 1 million d'entrées
MEGA CGR 1;RTE DE TULLE-ESPACE DES 3 PROVIN;19100;BRIVE-LA-GAILLARDE;19;LIMOUSIN;1 504;17 387;De 300 à 400 000 entrées
MEGAREX 1;5 RUE GEORGES MELIES;67500;HAGUENAU;67;ALSACE;1 504;11 677;De 300 à 400 000 entrées
MEGA CGR 1;LIEU DIT LES BRANDES;86240;FONTAINE-LE-COMTE;86;POITOU-CHARENTES;1 501;16 570;De 200 à 300 000 entrées
PALACE 1;5/7 RUE FABERT;57000;METZ;57;LORRAINE;1 496;11 745;De 150 à 200 000 entrées
PATHE 1;26 RUE LE CORBUSIER;92100;BOULOGNE-BILLANCOURT;92;ILE-DE-FRANCE;1 492;12 172;De 500 à 1 million d'entrées
