NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
CINE BREIZ;2 RUE DE STRASBOURG;22110;ROSTRENEN;22;BRETAGNE;227;314;De 5 à 10 000 entrées
 LE CLUB;14 RUE TOURTAIN;38260;LA COTE-SAINT-ANDRE;38;RHONE-ALPES;227;468;De 5 à 10 000 entrées
JEANNE D ARC;RUE HUGOT DERVILLE;56110;GOURIN;56;BRETAGNE;227;1 294;De 10 à 20 000 entrées
LE VARLIN;RUE DENIS PAPIN;59760;GRANDE-SYNTHE;59;NORD-PAS-DE-CALAIS;227;873;De 20 à 30 000 entrées
JEANNE D ARC;10 RUE DU CIMETIERE SAINT RIEUL;60300;SENLIS;60;PICARDIE;227;759;De 20 à 30 000 entrées
NORMANDY;18 RUE POISSONNIERE;76270;NEUFCHATEL-EN-BRAY;76;HAUTE-NORMANDIE;227;529;De 20 à 30 000 entrées
PARTERRE 1;SQUARE DE LAC MEGANTIC;91410;DOURDAN;91;ILE-DE-FRANCE;227;2 636;De 40 à 50 000 entrées
LE MODERNE 1;27 RUE HENRI BARBUSSE;18200;SAINT-AMAND-MONTROND;18;CENTRE;226;2 039;De 30 à 40 000 entrées
ESPACE CULTUREL BOIS FLEURI;PLACE DU 8 MAI 1945;33310;LORMONT;33;AQUITAINE;226;1;Moins de 2000 entrées
COLISEE LUMIER;55 RUE MONTGOLFIER;59700;MARCQ-EN-BAROEUL;59;NORD-PAS-DE-CALAIS;226;1 035;De 40 à 50 000 entrées
CINE MARILYN;AVENUE GUILLON;62290;NOEUX-LES-MINES;62;NORD-PAS-DE-CALAIS;226;13;Moins de 2000 entrées
ROHAN;39, RUE DU CHATEAU;67190;MUTZIG;67;ALSACE;226;273;De 2 à 5 000 entrées
CINEMA;7BIS RUE DE LA MAIRIE;92320;CHATILLON;92;ILE-DE-FRANCE;226;649;De 30 à 40 000 entrées
REX 1;24 AVENUE DES ARCADES;04200;SISTERON;04;PROVENCE-ALPES-COTE D'AZUR;225;1 136;De 10 à 20 000 entrées
EXCELSIOR;ABBAZIA;20243;PRUNELLI DI FIUMORBO;2B;CORSE;225;174;De 5 à 10 000 entrées
LE TRIANON;PLACE DU 8 MAI;33820;SAINT-CIERS-SUR-GIRONDE;33;AQUITAINE;225;440;De 5 à 10 000 entrées
